week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,06/01/,FR,14,27,7,23,35,3,5,"74,230,732.00  ",5  x   ,"18,000,000.00  ",35  x   ,"596,446.70  ",30  x   ,"37,115.30  ",237  x   ,"1,566.00  ","3,151  x   ",106.00  ,"4,098  x   ",63.30  ,"6,957  x   ",32.00  ,"76,087  x   ",15.10  ,"95,743  x   ",11.60  ,"137,185  x   ",11.60  ,"347,066  x   ",8.30  ,"1,102,845  x   ",6.40
2.,13/01/,FR,45,2,26,44,21,1,6,"34,159,190.00  ",0  x   ,unbesetzt,3  x   ,"483,921.80  ",5  x   ,"102,477.50  ",25  x   ,"6,831.80  ",431  x   ,356.60  ,895  x   ,133.50  ,"1,454  x   ",70.40  ,"22,324  x   ",23.70  ,"23,120  x   ",22.10  ,"42,966  x   ",17.00  ,"124,726  x   ",10.60  ,"354,957  x   ",9.10
3.,20/01/,FR,40,23,5,25,35,5,8,"32,706,936.00  ",0  x   ,unbesetzt,2  x   ,"695,022.30  ",3  x   ,"163,534.60  ",59  x   ,"2,771.70  ",576  x   ,255.50  ,875  x   ,130.80  ,"2,387  x   ",41.10  ,"31,659  x   ",16.10  ,"30,244  x   ",16.10  ,"45,093  x   ",15.50  ,"161,054  x   ",7.90  ,"407,246  x   ",7.60
4.,27/01/,FR,15,12,29,19,48,7,9,"34,068,330.00  ",0  x   ,unbesetzt,2  x   ,"723,952.00  ",3  x   ,"170,341.60  ",32  x   ,"5,323.10  ",639  x   ,239.90  ,"1,161  x   ",102.70  ,"1,676  x   ",60.90  ,"22,760  x   ",23.20  ,"31,135  x   ",16.40  ,"51,184  x   ",14.30  ,"116,447  x   ",11.40  ,"439,855  x   ",7.30
5.,03/02/,FR,39,47,5,17,4,3,4,"37,527,750.00  ",0  x   ,unbesetzt,4  x   ,"398,732.30  ",3  x   ,"187,638.70  ",47  x   ,"3,992.30  ",763  x   ,221.30  ,"1,122  x   ",117.00  ,"1,913  x   ",58.80  ,"27,765  x   ",20.90  ,"36,323  x   ",15.50  ,"51,577  x   ",15.50  ,"146,263  x   ",10.00  ,"513,826  x   ",6.90
6.,10/02/,FR,13,23,44,31,42,2,5,"40,116,976.00  ",2  x   ,"22,569,527.60  ",3  x   ,"568,323.80  ",3  x   ,"200,584.80  ",49  x   ,"4,093.50  ",860  x   ,209.90  ,"1,335  x   ",105.10  ,"2,362  x   ",50.90  ,"34,559  x   ",17.90  ,"34,983  x   ",17.20  ,"57,556  x   ",14.90  ,"182,068  x   ",8.50  ,"500,717  x   ",7.60
7.,17/02/,FR,40,49,19,7,18,5,6,"30,587,124.00  ",0  x   ,unbesetzt,6  x   ,"216,658.70  ",5  x   ,"91,761.30  ",37  x   ,"4,133.30  ",840  x   ,163.80  ,"1,127  x   ",94.90  ,"1,510  x   ",60.70  ,"22,010  x   ",21.50  ,"27,224  x   ",16.80  ,"45,114  x   ",14.50  ,"116,338  x   ",10.20  ,"387,514  x   ",7.50
8.,24/02/,FR,13,19,7,20,1,8,6,"30,968,216.00  ",0  x   ,unbesetzt,7  x   ,"188,021.30  ",21  x   ,"22,120.10  ",51  x   ,"3,036.00  ","1,161  x   ",120.00  ,"2,305  x   ",47.90  ,"1,890  x   ",47.90  ,"23,847  x   ",20.10  ,"34,068  x   ",13.60  ,"63,715  x   ",10.40  ,"117,450  x   ",10.20  ,"428,994  x   ",6.80
9.,03/03/,FR,7,3,16,18,25,10,2,"33,088,452.00  ",0  x   ,unbesetzt,3  x   ,"468,753.00  ",9  x   ,"55,147.40  ",35  x   ,"4,726.90  ",839  x   ,177.40  ,"1,735  x   ",66.70  ,"1,513  x   ",65.60  ,"20,408  x   ",25.10  ,"31,182  x   ",15.90  ,"68,910  x   ",11.60  ,"102,499  x   ",11.60  ,"404,390  x   ",7.80
10.,10/03/,FR,18,20,35,13,46,7,8,"35,011,784.00  ",0  x   ,unbesetzt,4  x   ,"372,000.20  ",3  x   ,"175,058.90  ",30  x   ,"5,835.20  ",605  x   ,260.40  ,936  x   ,130.90  ,"1,506  x   ",69.70  ,"22,357  x   ",24.20  ,"30,098  x   ",17.40  ,"45,333  x   ",16.60  ,"120,883  x   ",11.20  ,"442,520  x   ",7.50
11.,17/03/,FR,38,25,3,45,16,8,7,"37,698,802.00  ",0  x   ,unbesetzt,9  x   ,"178,022.10  ",6  x   ,"94,247.00  ",28  x   ,"6,731.90  ","1,070  x   ",158.50  ,"1,462  x   ",90.20  ,"1,627  x   ",69.50  ,"24,503  x   ",23.80  ,"37,192  x   ",15.20  ,"56,660  x   ",14.30  ,"129,491  x   ",11.30  ,"493,849  x   ",7.20
12.,24/03/,FR,25 ,30 ,44 ,36 ,26 ,3,9,"40,835,108.00  ",0  x   ,unbesetzt,3  x   ,"578,497.30  ",5  x   ,"122,505.30  ",38  x   ,"5,373.00  ",586  x   ,313.50  ,998  x   ,143.20  ,"2,007  x   ",61.00  ,"32,667  x   ",20.20  ,"28,781  x   ",20.20  ,"49,986  x   ",17.50  ,"185,186  x   ",8.50  ,"454,713  x   ",8.50
13.,31/03/,FR,44 ,14 ,8 ,40 ,34 ,1,7,"46,099,214.00  ",0  x   ,unbesetzt,4  x   ,"489,804.10  ",4  x   ,"172,872.00  ",45  x   ,"5,122.10  ",719  x   ,288.50  ,"1,249  x   ",129.10  ,"2,062  x   ",67.00  ,"30,541  x   ",23.30  ,"34,362  x   ",20.10  ,"62,480  x   ",15.80  ,"172,916  x   ",10.30  ,"516,931  x   ",8.50
14.,07/04/,FR,46 ,45 ,27 ,43 ,10 ,8,4,"52,914,060.00  ",0  x   ,unbesetzt,6  x   ,"374,807.90  ",8  x   ,"99,213.80  ",65  x   ,"4,070.30  ",828  x   ,287.50  ,"1,364  x   ",135.70  ,"2,906  x   ",54.60  ,"44,839  x   ",19.20  ,"39,181  x   ",19.20  ,"65,776  x   ",17.20  ,"253,400  x   ",8.30  ,"598,460  x   ",8.30
15.,14/04/,FR,49 ,6 ,46 ,22 ,33 ,1,5,"57,999,676.00  ",1  x   ,"86,970,702.80  ",3  x   ,"821,662.00  ",10  x   ,"86,999.50  ",56  x   ,"5,178.50  ","1,009  x   ",258.60  ,"1,958  x   ",103.60  ,"2,708  x   ",64.20  ,"39,240  x   ",22.90  ,"48,409  x   ",17.90  ,"85,379  x   ",14.60  ,"206,245  x   ",10.90  ,"668,674  x   ",8.20
16.,21/04/,FR,49 ,44 ,27 ,31 ,46 ,6,8,"30,337,086.00  ",0  x   ,unbesetzt,4  x   ,"322,331.50  ",3  x   ,"151,685.40  ",24  x   ,"6,320.20  ",465  x   ,293.50  ,753  x   ,141.00  ,"1,324  x   ",68.70  ,"19,705  x   ",23.80  ,"21,422  x   ",21.20  ,"36,168  x   ",18.00  ,"110,529  x   ",10.70  ,"331,983  x   ",8.70
17.,28/04/,FR,3 ,38 ,45 ,39 ,41 ,5,3,"32,104,618.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"160,523.00  ",33  x   ,"4,864.30  ",444  x   ,325.30  ,704  x   ,159.60  ,"1,640  x   ",58.70  ,"26,095  x   ",19.70  ,"23,479  x   ",19.70  ,"36,627  x   ",18.80  ,"153,811  x   ",8.10  ,"373,448  x   ",8.10
