week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
12.,23/03/,FR,5 ,46 ,37 ,21 ,8 ,8,6,"13,155,414.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"42,755.00  ",12  x   ,"6,577.70  ",245  x   ,255.00  ,302  x   ,130.60  ,763  x   ,73.20  ,"11,848  x   ",22.70  ,"11,675  x   ",19.40  ,"15,319  x   ",15.40  ,"64,513  x   ",12.20  ,"178,977  x   ",8.40
13.,30/03/,FR,19 ,5 ,7 ,12 ,26 ,1,5,"11,727,162.00  ",0  x   ,unbesetzt,9  x   ,"69,118.20  ",3  x   ,"25,408.80  ",46  x   ,"1,529.60  ",667  x   ,83.50  ,903  x   ,38.90  ,"1,514  x   ",32.90  ,"19,123  x   ",12.50  ,"16,957  x   ",11.90  ,"26,050  x   ",9.10  ,"74,366  x   ",9.10  ,"198,640  x   ",6.70
14.,06/04/,FR,36 ,38 ,34 ,8 ,7 ,5,4,"12,505,570.00  ",0  x   ,unbesetzt,1  x   ,"312,639.20  ",1  x   ,"81,286.20  ",12  x   ,"6,252.70  ",185  x   ,321.00  ,248  x   ,151.20  ,852  x   ,62.30  ,"10,782  x   ",23.70  ,"14,301  x   ",15.80  ,"13,437  x   ",15.80  ,"77,156  x   ",9.70  ,"181,709  x   ",7.80
15.,13/04/,FR,12 ,27 ,32 ,5 ,11 ,3,1,"13,027,098.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,28  x   ,"2,791.50  ",387  x   ,159.80  ,497  x   ,78.60  ,"1,169  x   ",47.30  ,"17,373  x   ",15.30  ,"15,794  x   ",14.20  ,"21,700  x   ",10.80  ,"73,909  x   ",10.50  ,"230,152  x   ",6.40
16.,20/04/,FR,30 ,16 ,45 ,41 ,10 ,2,8,"12,608,568.00  ",0  x   ,unbesetzt,1  x   ,"640,891.60  ",1  x   ,"166,631.80  ",23  x   ,"3,289.10  ",221  x   ,270.90  ,272  x   ,139.00  ,935  x   ,57.30  ,"10,163  x   ",25.40  ,"14,154  x   ",16.70  ,"12,395  x   ",16.70  ,"79,453  x   ",9.50  ,"155,150  x   ",9.30
17.,27/04/,FR,40 ,13 ,10 ,19 ,45 ,3,5,"12,128,078.00  ",0  x   ,unbesetzt,1  x   ,"303,201.90  ",0  x   ,unbesetzt,11  x   ,"6,615.30  ",277  x   ,207.90  ,312  x   ,116.60  ,"1,022  x   ",50.40  ,"11,445  x   ",21.70  ,"16,412  x   ",14.40  ,"13,276  x   ",14.40  ,"90,274  x   ",8.00  ,"178,350  x   ",7.80
18.,04/05/,FR,29 ,45 ,41 ,35 ,30 ,5,3,"12,061,678.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"157,233.40  ",12  x   ,"6,030.80  ",141  x   ,406.30  ,179  x   ,202.10  ,776  x   ,66.00  ,"8,492  x   ",29.10  ,"13,307  x   ",17.80  ,"10,478  x   ",17.80  ,"83,258  x   ",9.40  ,"139,493  x   ",9.40
19.,11/05/,FR,38 ,21 ,39 ,47 ,15 ,1,5,"12,640,608.00  ",1  x   ,"19,536,863.80  ",1  x   ,"617,557.10  ",1  x   ,"82,163.90  ",23  x   ,"3,297.50  ",226  x   ,265.60  ,304  x   ,124.70  ,829  x   ,64.80  ,"9,939  x   ",26.00  ,"12,640  x   ",17.20  ,"13,951  x   ",16.30  ,"72,228  x   ",10.50  ,"152,140  x   ",9.50
20.,18/05/,FR,46 ,43 ,12 ,44 ,18 ,5,4,"11,141,190.00  ",0  x   ,unbesetzt,1  x   ,"278,529.70  ",1  x   ,"72,417.70  ",16  x   ,"4,177.90  ",182  x   ,290.70  ,241  x   ,138.60  ,729  x   ,64.90  ,"9,556  x   ",23.90  ,"12,424  x   ",16.10  ,"11,857  x   ",16.10  ,"68,999  x   ",9.60  ,"154,735  x   ",8.20
21.,25/05/,FR,32 ,11 ,41 ,26 ,4 ,5,7,"10,681,774.00  ",0  x   ,unbesetzt,2  x   ,"133,522.10  ",0  x   ,unbesetzt,17  x   ,"3,770.00  ",214  x   ,237.00  ,275  x   ,116.50  ,782  x   ,58.00  ,"10,260  x   ",21.30  ,"11,965  x   ",15.50  ,"12,257  x   ",15.50  ,"66,096  x   ",9.60  ,"155,436  x   ",7.80
22.,01/06/,FR,34 ,38 ,28 ,37 ,11 ,3,7,"10,897,248.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"140,263.60  ",19  x   ,"3,441.20  ",193  x   ,268.10  ,228  x   ,143.30  ,"1,207  x   ",38.30  ,"10,525  x   ",21.20  ,"19,582  x   ",12.00  ,"12,174  x   ",12.00  ,"108,691  x   ",7.10  ,"158,809  x   ",7.10
23.,08/06/,FR,44 ,36 ,10 ,16 ,15 ,7,8,"11,088,516.00  ",0  x   ,unbesetzt,1  x   ,"549,644.10  ",0  x   ,unbesetzt,12  x   ,"5,544.20  ",209  x   ,252.00  ,238  x   ,139.70  ,683  x   ,68.90  ,"10,533  x   ",21.50  ,"9,364  x   ",20.40  ,"12,650  x   ",15.70  ,"51,805  x   ",12.80  ,"157,297  x   ",8.00
24.,15/06/,FR,17 ,6 ,10 ,42 ,18 ,3,1,"11,132,242.00  ",0  x   ,unbesetzt,1  x   ,"278,306.00  ",0  x   ,unbesetzt,11  x   ,"6,072.10  ",225  x   ,235.00  ,254  x   ,131.40  ,798  x   ,59.20  ,"11,006  x   ",20.70  ,"11,515  x   ",16.60  ,"14,109  x   ",14.20  ,"61,505  x   ",10.80  ,"165,695  x   ",7.70
25.,22/06/,FR,14 ,49 ,16 ,47 ,13 ,1,7,"11,181,140.00  ",0  x   ,unbesetzt,1  x   ,"279,528.50  ",0  x   ,unbesetzt,16  x   ,"4,192.90  ",172  x   ,308.70  ,196  x   ,171.10  ,715  x   ,66.40  ,"8,738  x   ",26.20  ,"11,904  x   ",17.10  ,"11,013  x   ",17.10  ,"65,554  x   ",10.20  ,"151,173  x   ",8.40
26.,29/06/,FR,8 ,5 ,19 ,36 ,33 ,2,3,"11,447,588.00  ",0  x   ,unbesetzt,2  x   ,"192,570.40  ",1  x   ,"192,570.40  ",17  x   ,"4,040.30  ",325  x   ,167.30  ,400  x   ,85.80  ,858  x   ,56.70  ,"15,663  x   ",16.00  ,"11,194  x   ",16.00  ,"16,633  x   ",12.30  ,"56,672  x   ",12.10  ,"208,310  x   ",6.30
27.,06/07/,FR,38 ,22 ,24 ,10 ,33 ,6,2,"12,008,478.00  ",0  x   ,unbesetzt,1  x   ,"300,211.90  ",0  x   ,unbesetzt,19  x   ,"3,792.10  ",294  x   ,194.00  ,339  x   ,106.20  ,"1,304  x   ",39.10  ,"12,744  x   ",19.30  ,"17,906  x   ",12.10  ,"16,977  x   ",12.10  ,"88,571  x   ",8.10  ,"179,688  x   ",7.60
28.,13/07/,FR,12 ,8 ,31 ,27 ,37 ,6,3,"13,483,642.00  ",0  x   ,unbesetzt,3  x   ,"125,697.40  ",1  x   ,"125,697.40  ",22  x   ,"3,677.30  ",283  x   ,226.30  ,383  x   ,105.60  ,"1,465  x   ",39.10  ,"13,855  x   ",19.90  ,"21,995  x   ",12.00  ,"17,523  x   ",12.00  ,"110,281  x   ",7.40  ,"204,268  x   ",7.40
29.,20/07/,FR,9 ,13 ,25 ,6 ,14 ,8,1,"12,944,940.00  ",0  x   ,unbesetzt,3  x   ,"107,874.50  ",2  x   ,"42,071.00  ",32  x   ,"2,427.10  ",310  x   ,198.30  ,478  x   ,81.20  ,"1,257  x   ",43.70  ,"13,694  x   ",19.30  ,"17,149  x   ",13.00  ,"20,932  x   ",11.10  ,"84,580  x   ",9.10  ,"188,722  x   ",7.80
30.,27/07/,FR,9 ,34 ,35 ,23 ,22 ,1,3,"13,120,050.00  ",0  x   ,unbesetzt,2  x   ,"164,000.60  ",2  x   ,"42,640.10  ",25  x   ,"3,148.80  ",311  x   ,200.30  ,371  x   ,106.00  ,909  x   ,61.30  ,"14,007  x   ",19.20  ,"13,929  x   ",16.20  ,"17,622  x   ",13.40  ,"73,509  x   ",10.70  ,"204,343  x   ",7.30
31.,03/08/,FR,12 ,25 ,24 ,18 ,15 ,4,5,"14,542,212.00  ",0  x   ,unbesetzt,3  x   ,"121,185.10  ",3  x   ,"31,508.10  ",44  x   ,"1,983.00  ",463  x   ,149.10  ,521  x   ,83.70  ,"1,544  x   ",40.00  ,"18,375  x   ",16.20  ,"21,163  x   ",11.90  ,"21,851  x   ",11.90  ,"99,633  x   ",8.70  ,"241,237  x   ",6.90
32.,10/08/,FR,40 ,46 ,48 ,6 ,11 ,3,6,"21,983,676.00  ",0  x   ,unbesetzt,1  x   ,"27,545,857.50  ",1  x   ,"142,893.80  ",32  x   ,"4,121.90  ",324  x   ,322.20  ,417  x   ,158.10  ,"1,804  x   ",51.70  ,"16,917  x   ",26.60  ,"29,266  x   ",15.30  ,"21,101  x   ",15.30  ,"168,765  x   ",8.70  ,"270,833  x   ",8.70
