week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,04/01/,FR,25,3,32,10,43,3,1,"36,159,076.00  ",0  x   ,unbesetzt,4  x   ,"384,190.10  ",5  x   ,"108,477.20  ",44  x   ,"4,108.90  ",788  x   ,206.40  ,"1,276  x   ",99.10  ,"1,729  x   ",62.70  ,"25,530  x   ",21.90  ,"33,331  x   ",16.20  ,"54,608  x   ",14.20  ,"130,755  x   ",10.70  ,"462,212  x   ",7.40
2.,11/01/,FR,49,35,6,39,12,9,4,"38,429,284.00  ",0  x   ,unbesetzt,2  x   ,"816,622.20  ",8  x   ,"72,054.90  ",43  x   ,"4,468.50  ",624  x   ,277.10  ,"1,102  x   ",122.00  ,"1,897  x   ",60.70  ,"28,326  x   ",21.00  ,"28,825  x   ",19.90  ,"51,518  x   ",16.00  ,"151,624  x   ",9.80  ,"441,558  x   ",8.30
3.,18/01/,FR,2,9,36,47,23,9,2,"41,724,048.00  ",0  x   ,unbesetzt,4  x   ,"443,318.00  ",13  x   ,"48,143.10  ",77  x   ,"2,709.30  ",947  x   ,198.20  ,"1,686  x   ",86.60  ,"2,936  x   ",42.60  ,"36,909  x   ",17.50  ,"36,384  x   ",17.20  ,"65,822  x   ",13.60  ,"172,072  x   ",9.40  ,"505,113  x   ",7.80
4.,25/01/,FR,24,35,28,48,25,8,4,"44,197,696.00  ",0  x   ,unbesetzt,3  x   ,"626,134.00  ",4  x   ,"165,741.30  ",59  x   ,"3,745.50  ",691  x   ,287.80  ,"1,176  x   ",131.50  ,"2,907  x   ",45.60  ,"43,366  x   ",17.10  ,"35,325  x   ",17.10  ,"57,090  x   ",16.60  ,"224,171  x   ",7.80  ,"535,178  x   ",7.80
5.,01/02/,FR,6,45,47,38,29,2,3,"49,796,040.00  ",0  x   ,unbesetzt,6  x   ,"352,721.90  ",7  x   ,"106,705.80  ",57  x   ,"4,368.00  ",901  x   ,248.70  ,"1,413  x   ",123.30  ,"1,872  x   ",79.80  ,"28,873  x   ",26.70  ,"39,807  x   ",18.70  ,"62,643  x   ",17.00  ,"162,991  x   ",11.90  ,"594,589  x   ",7.90
6.,08/02/,FR,26,21,24,5,8,5,4,"55,553,830.00  ",1  x   ,"63,248,942.30  ",4  x   ,"590,259.40  ",6  x   ,"138,884.50  ",81  x   ,"3,429.20  ","1,255  x   ",199.10  ,"2,025  x   ",96.00  ,"3,116  x   ",53.40  ,"42,973  x   ",20.00  ,"55,929  x   ",14.80  ,"86,413  x   ",13.80  ,"214,934  x   ",10.00  ,"769,432  x   ",6.80
7.,15/02/,FR,30,24,31,1,47,7,9,"38,021,756.00  ",0  x   ,unbesetzt,5  x   ,"323,184.90  ",2  x   ,"285,163.10  ",31  x   ,"6,132.50  ",581  x   ,294.40  ,963  x   ,138.10  ,"1,496  x   ",76.20  ,"23,202  x   ",25.40  ,"26,792  x   ",21.20  ,"45,124  x   ",18.10  ,"132,963  x   ",11.10  ,"417,583  x   ",8.60
8.,22/02/,FR,26,25,14,21,16,10,8,"39,633,274.00  ",0  x   ,unbesetzt,1  x   ,"1,684,414.10  ",2  x   ,"297,249.50  ",34  x   ,"5,828.40  ",615  x   ,289.90  ,"1,325  x   ",104.60  ,"1,415  x   ",84.00  ,"21,894  x   ",28.00  ,"28,665  x   ",20.70  ,"57,929  x   ",14.70  ,"116,166  x   ",13.30  ,"442,817  x   ",8.50
9.,01/03/,FR,24,7,19,18,16,1,6,"42,876,574.00  ",0  x   ,unbesetzt,4  x   ,"455,563.60  ",7  x   ,"91,878.30  ",54  x   ,"3,970.00  ",926  x   ,208.30  ,"1,974  x   ",76.00  ,"2,547  x   ",50.50  ,"36,390  x   ",18.20  ,"41,239  x   ",15.50  ,"87,184  x   ",10.50  ,"176,242  x   ",9.40  ,"548,768  x   ",7.40
10.,08/03/,FR,29,45,4,30,31,7,1,"47,363,266.00  ",0  x   ,unbesetzt,4  x   ,"503,234.70  ",7  x   ,"101,492.70  ",53  x   ,"4,468.20  ",682  x   ,312.50  ,"1,367  x   ",121.20  ,"2,059  x   ",69.00  ,"30,362  x   ",24.10  ,"33,174  x   ",21.40  ,"59,055  x   ",17.20  ,"171,324  x   ",10.70  ,"506,675  x   ",8.90
