week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
11.,15/03/,FR,19,2,11,1,47,7,2,"52,917,316.00  ",1  x   ,"53,423,674.30  ",6  x   ,"374,830.90  ",10  x   ,"79,375.90  ",99  x   ,"2,672.50  ","1,074  x   ",221.70  ,"1,674  x   ",110.60  ,"3,794  x   ",41.80  ,"51,546  x   ",16.00  ,"48,738  x   ",16.00  ,"75,019  x   ",15.10  ,"253,690  x   ",8.10  ,"678,132  x   ",7.40
12.,22/03/,FR,24,20 ,49 ,44 ,15 ,9,7,"37,750,524.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,7  x   ,"80,893.90  ",42  x   ,"4,494.10  ",523  x   ,324.80  ,926  x   ,142.60  ,"1,574  x   ",71.90  ,"24,083  x   ",24.20  ,"27,159  x   ",20.80  ,"46,033  x   ",17.60  ,"134,382  x   ",10.90  ,"435,329  x   ",8.20
13.,29/03/,FR,42,15 ,24 ,9 ,4 ,8,9,"40,398,556.00  ",0  x   ,unbesetzt,4  x   ,"830,333.90  ",6  x   ,"100,996.30  ",36  x   ,"5,610.90  ",826  x   ,220.00  ,"1,366  x   ",103.50  ,"1,612  x   ",75.10  ,"23,375  x   ",26.70  ,"36,920  x   ",16.40  ,"62,053  x   ",13.90  ,"120,923  x   ",13.00  ,"513,447  x   ",7.50
14.,05/04/,FR,31 ,22 ,50 ,43 ,44 ,9,1,"42,029,132.00  ",0  x   ,unbesetzt,2  x   ,"893,119.00  ",7  x   ,"90,062.40  ",33  x   ,"6,368.00  ",596  x   ,317.30  ,"1,111  x   ",132.40  ,"1,579  x   ",79.80  ,"23,987  x   ",27.10  ,"26,827  x   ",23.50  ,"51,519  x   ",17.50  ,"133,326  x   ",12.20  ,"413,941  x   ",9.60
15.,12/04/,FR,16 ,30 ,14 ,21 ,37 ,8,4,"45,263,456.00  ",0  x   ,unbesetzt,4  x   ,"480,924.20  ",4  x   ,"169,737.90  ",68  x   ,"3,328.10  ",801  x   ,254.20  ,"1,500  x   ",105.60  ,"2,767  x   ",49.00  ,"40,898  x   ",17.50  ,"37,823  x   ",17.50  ,"62,912  x   ",15.40  ,"218,799  x   ",8.00  ,"539,495  x   ",8.00
16.,19/04/,FR,43 ,47 ,18 ,37 ,21 ,3,1,"48,083,552.00  ",0  x   ,unbesetzt,3  x   ,"681,183.60  ",9  x   ,"80,139.20  ",58  x   ,"4,145.10  ",809  x   ,267.40  ,"1,436  x   ",117.10  ,"1,876  x   ",76.80  ,"29,330  x   ",25.40  ,"37,330  x   ",19.30  ,"64,802  x   ",15.90  ,"162,186  x   ",11.50  ,"553,179  x   ",8.30
17.,26/04/,FR,1 ,11 ,17 ,38 ,6 ,8,4,"54,143,372.00  ",0  x   ,unbesetzt,1  x   ,"2,301,093.30  ",8  x   ,"101,518.80  ",82  x   ,"3,301.40  ",969  x   ,251.40  ,"1,804  x   ",105.00  ,"3,354  x   ",48.40  ,"48,974  x   ",17.40  ,"45,769  x   ",17.40  ,"81,387  x   ",14.30  ,"262,348  x   ",8.00  ,"662,828  x   ",7.80
18.,03/05/,FR,19 ,3 ,42 ,10 ,9 ,1,7,"64,462,932.00  ",0  x   ,unbesetzt,1  x   ,"2,739,674.60  ",6  x   ,"161,157.30  ",83  x   ,"3,883.30  ","1,304  x   ",222.40  ,"2,409  x   ",93.60  ,"3,827  x   ",50.50  ,"50,477  x   ",19.70  ,"61,084  x   ",15.80  ,"107,772  x   ",12.80  ,"247,865  x   ",10.10  ,"832,747  x   ",7.30
19.,10/05/,FR,29 ,15 ,7 ,19 ,5 ,8,3,"79,598,008.00  ",2  x   ,"45,000,000.00  ",11  x   ,"994,790.90  ",18  x   ,"66,331.60  ",149  x   ,"2,671.00  ","2,237  x   ",160.10  ,"3,625  x   ",76.80  ,"6,772  x   ",35.20  ,"89,603  x   ",13.80  ,"85,275  x   ",13.80  ,"143,271  x   ",11.90  ,"419,060  x   ",7.40  ,"1,130,480  x   ",6.70
20.,17/05/,FR,27 ,33 ,20 ,46 ,35 ,9,5,"39,832,156.00  ",0  x   ,unbesetzt,4  x   ,"423,216.60  ",7  x   ,"85,354.60  ",68  x   ,"2,928.80  ",908  x   ,197.40  ,"1,269  x   ",109.80  ,"2,509  x   ",47.60  ,"30,645  x   ",20.10  ,"38,596  x   ",15.40  ,"56,624  x   ",15.10  ,"156,146  x   ",9.90  ,"479,406  x   ",7.90
21.,24/05/,FR,50 ,47 ,38 ,26 ,8 ,3,7,"41,251,970.00  ",0  x   ,unbesetzt,4  x   ,"438,302.10  ",8  x   ,"77,347.40  ",62  x   ,"3,326.70  ",707  x   ,262.50  ,"1,223  x   ",118.00  ,"2,992  x   ",41.30  ,"43,104  x   ",16.60  ,"32,478  x   ",16.60  ,"53,584  x   ",16.50  ,"245,206  x   ",7.70  ,"470,947  x   ",7.70
22.,31/05/,FR,10 ,35 ,12 ,36 ,43 ,5,2,"43,476,198.00  ",0  x   ,unbesetzt,5  x   ,"369,547.60  ",6  x   ,"108,690.40  ",47  x   ,"4,625.10  ",787  x   ,248.50  ,"1,235  x   ",123.20  ,"2,475  x   ",52.60  ,"35,579  x   ",18.90  ,"34,778  x   ",18.70  ,"57,969  x   ",16.10  ,"190,976  x   ",8.80  ,"521,975  x   ",7.90
23.,07/06/,FR,8 ,20 ,7 ,38 ,35 ,9,5,"47,164,734.00  ",0  x   ,unbesetzt,3  x   ,"668,167.00  ",5  x   ,"141,494.20  ",38  x   ,"6,205.80  ",767  x   ,276.70  ,"1,373  x   ",120.20  ,"2,318  x   ",61.00  ,"35,570  x   ",20.50  ,"37,393  x   ",18.90  ,"66,306  x   ",15.20  ,"184,331  x   ",9.90  ,"565,619  x   ",7.90
24.,14/06/,FR,42 ,40 ,41 ,8 ,23 ,10,2,"50,331,156.00  ",1  x   ,"55,280,363.70  ",2  x   ,"1,069,537.00  ",3  x   ,"251,655.70  ",43  x   ,"5,852.40  ",714  x   ,317.20  ,"1,418  x   ",124.20  ,"2,026  x   ",74.50  ,"29,805  x   ",26.10  ,"35,793  x   ",21.00  ,"66,153  x   ",16.30  ,"159,155  x   ",12.30  ,"527,878  x   ",9.10
25.,21/06/,FR,45 ,41 ,20 ,37 ,27 ,1,7,"37,090,362.00  ",0  x   ,unbesetzt,3  x   ,"525,446.70  ",5  x   ,"111,271.00  ",26  x   ,"7,132.70  ",576  x   ,289.70  ,961  x   ,135.00  ,"1,503  x   ",74.00  ,"24,530  x   ",23.40  ,"24,991  x   ",22.20  ,"44,015  x   ",18.10  ,"136,875  x   ",10.50  ,"396,743  x   ",8.90
26.,28/06/,FR,38 ,18 ,26 ,25 ,35 ,6,5,"38,691,440.00  ",1  x   ,"18,927,585.40  ",1  x   ,"1,644,386.20  ",7  x   ,"82,910.20  ",47  x   ,"4,116.10  ",852  x   ,204.30  ,"1,363  x   ",99.30  ,"2,054  x   ",56.50  ,"29,780  x   ",20.10  ,"35,789  x   ",16.20  ,"57,338  x   ",14.50  ,"147,842  x   ",10.20  ,"497,064  x   ",7.40
27.,05/07/,FR,50 ,1 ,48 ,15 ,34 ,10,6,"36,434,924.00  ",0  x   ,unbesetzt,4  x   ,"387,121.00  ",2  x   ,"273,261.90  ",34  x   ,"5,358.00  ",533  x   ,307.60  ,944  x   ,135.00  ,"1,333  x   ",81.90  ,"19,544  x   ",28.80  ,"23,746  x   ",23.00  ,"44,892  x   ",17.40  ,"103,346  x   ",13.70  ,"357,645  x   ",9.70
28.,12/07/,FR,36 ,31 ,40 ,45 ,42 ,7,9,"38,184,960.00  ",0  x   ,unbesetzt,3  x   ,"540,953.60  ",2  x   ,"286,387.20  ",32  x   ,"5,966.40  ",492  x   ,349.20  ,866  x   ,154.30  ,"1,502  x   ",76.20  ,"23,073  x   ",25.60  ,"24,109  x   ",23.70  ,"40,812  x   ",20.10  ,"132,090  x   ",11.20  ,"392,753  x   ",9.20
29.,19/07/,FR,47 ,32 ,45 ,49 ,31 ,9,7,"40,965,768.00  ",0  x   ,unbesetzt,2  x   ,"870,522.50  ",3  x   ,"204,828.80  ",43  x   ,"4,763.40  ",628  x   ,293.50  ,995  x   ,144.10  ,"1,853  x   ",66.30  ,"27,889  x   ",22.70  ,"28,248  x   ",21.70  ,"46,709  x   ",18.80  ,"145,565  x   ",10.90  ,"441,729  x   ",8.80
30.,26/07/,FR,46 ,8 ,30 ,3 ,48 ,1,3,"42,728,246.00  ",0  x   ,unbesetzt,6  x   ,"307,109.20  ",2  x   ,"307,109.20  ",34  x   ,"6,283.50  ",649  x   ,296.20  ,"1,114  x   ",134.20  ,"1,769  x   ",72.40  ,"27,540  x   ",24.00  ,"32,131  x   ",19.90  ,"53,940  x   ",17.00  ,"150,838  x   ",11.00  ,"494,605  x   ",8.20
31.,02/08/,FR,6 ,41 ,38 ,44 ,11 ,9,10,"48,759,138.00  ",0  x   ,unbesetzt,2  x   ,"1,036,131.60  ",10  x   ,"73,138.70  ",41  x   ,"5,946.20  ",759  x   ,289.00  ,"1,446  x   ",118.00  ,"1,657  x   ",88.20  ,"26,115  x   ",28.90  ,"33,351  x   ",21.90  ,"68,476  x   ",15.30  ,"141,250  x   ",13.40  ,"495,442  x   ",9.30
32.,09/08/,FR,4 ,49 ,20 ,21 ,2 ,9,10,"54,472,426.00  ",0  x   ,unbesetzt,2  x   ,"1,157,539.00  ",8  x   ,"102,135.70  ",50  x   ,"5,447.20  ",844  x   ,290.40  ,"1,701  x   ",112.00  ,"2,002  x   ",81.60  ,"30,751  x   ",27.40  ,"37,570  x   ",21.70  ,"77,724  x   ",15.00  ,"164,590  x   ",12.90  ,"556,772  x   ",9.30
33.,16/08/,FR,20 ,44 ,42 ,7 ,35 ,7,3,"61,642,580.00  ",0  x   ,unbesetzt,1  x   ,"2,619,809.60  ",4  x   ,"231,159.60  ",77  x   ,"4,002.70  ","1,067  x   ",259.90  ,"1,651  x   ",130.60  ,"4,662  x   ",39.60  ,"71,004  x   ",15.90  ,"50,392  x   ",15.90  ,"79,439  x   ",15.90  ,"385,131  x   ",7.30  ,"749,602  x   ",7.30
34.,23/08/,FR,19 ,18 ,15 ,41 ,42 ,6,4,"77,967,320.00  ",1  x   ,"90,000,000.00  ",8  x   ,"939,388.00  ",6  x   ,"194,918.30  ",74  x   ,"5,268.00  ","1,133  x   ",309.60  ,"1,968  x   ",138.60  ,"3,678  x   ",63.50  ,"61,412  x   ",20.60  ,"53,898  x   ",20.60  ,"94,531  x   ",17.70  ,"340,127  x   ",8.90  ,"882,188  x   ",8.40
35.,30/08/,FR,35 ,10 ,46 ,18 ,32 ,10,3,"39,851,474.00  ",0  x   ,unbesetzt,2  x   ,"846,843.80  ",5  x   ,"119,554.40  ",49  x   ,"4,066.40  ",716  x   ,250.40  ,"1,218  x   ",114.50  ,"1,553  x   ",76.90  ,"23,224  x   ",26.50  ,"30,431  x   ",19.60  ,"56,381  x   ",15.10  ,"124,777  x   ",12.40  ,"444,128  x   ",8.50
36.,06/09/,FR,29 ,21 ,24 ,30 ,50 ,1,5,"42,197,312.00  ",0  x   ,unbesetzt,1  x   ,"1,793,385.70  ",6  x   ,"105,493.20  ",35  x   ,"6,028.10  ",578  x   ,328.50  ,"1,030  x   ",143.30  ,"1,733  x   ",73.00  ,"26,994  x   ",24.20  ,"28,576  x   ",22.10  ,"49,899  x   ",18.10  ,"148,058  x   ",11.10  ,"452,133  x   ",8.90
37.,13/09/,FR,22 ,33 ,21 ,47 ,3 ,9,2,"47,653,662.00  ",0  x   ,unbesetzt,4  x   ,"506,320.10  ",7  x   ,"102,114.90  ",78  x   ,"3,054.70  ",927  x   ,231.30  ,"1,691  x   ",98.60  ,"3,066  x   ",46.60  ,"40,991  x   ",18.00  ,"41,287  x   ",17.30  ,"74,286  x   ",13.70  ,"208,242  x   ",8.90  ,"581,597  x   ",7.80
38.,20/09/,FR,21 ,48 ,17 ,49 ,41 ,8,4,"48,314,422.00  ",1  x   ,"44,648,075.80  ",6  x   ,"342,227.10  ",5  x   ,"144,943.20  ",44  x   ,"5,490.20  ",683  x   ,318.30  ,"1,208  x   ",139.90  ,"2,408  x   ",60.10  ,"40,286  x   ",20.00  ,"33,319  x   ",20.00  ,"58,647  x   ",17.70  ,"237,826  x   ",8.50  ,"523,603  x   ",8.50
39.,27/09/,FR,34 ,21 ,24 ,47 ,26 ,6,4,"38,232,780.00  ",0  x   ,unbesetzt,1  x   ,"1,624,893.10  ",2  x   ,"286,745.80  ",43  x   ,"4,445.60  ",641  x   ,268.40  ,"1,097  x   ",121.90  ,"2,218  x   ",51.70  ,"31,649  x   ",18.70  ,"30,751  x   ",18.60  ,"52,050  x   ",15.70  ,"165,478  x   ",9.00  ,"443,406  x   ",8.20
40.,04/10/,FR,15 ,19 ,20 ,45 ,49 ,8,7,"40,242,622.00  ",0  x   ,unbesetzt,4  x   ,"427,577.80  ",0  x   ,unbesetzt,42  x   ,"4,790.70  ",634  x   ,285.60  ,984  x   ,143.10  ,"1,720  x   ",70.10  ,"26,246  x   ",23.70  ,"30,981  x   ",19.40  ,"48,247  x   ",17.90  ,"141,637  x   ",11.00  ,"493,342  x   ",7.70
41.,11/10/,FR,44 ,39 ,8 ,12 ,13 ,4,9,"42,550,282.00  ",0  x   ,unbesetzt,2  x   ,"904,193.40  ",5  x   ,"248,378.70  ",71  x   ,"2,996.40  ",823  x   ,232.60  ,"1,482  x   ",100.40  ,"2,383  x   ",53.50  ,"35,152  x   ",18.70  ,"37,090  x   ",17.20  ,"66,502  x   ",13.70  ,"177,122  x   ",9.30  ,"547,082  x   ",7.40
42.,18/10/,FR,44 ,9 ,6 ,43 ,31 ,6,9,"46,590,302.00  ",0  x   ,unbesetzt,4  x   ,"495,021.90  ",5  x   ,"139,770.90  ",55  x   ,"4,235.40  ",739  x   ,283.70  ,"1,359  x   ",119.90  ,"2,633  x   ",53.00  ,"35,746  x   ",20.20  ,"34,702  x   ",20.10  ,"62,326  x   ",16.00  ,"164,568  x   ",11.00  ,"528,584  x   ",8.40
43.,25/10/,FR,34 ,2 ,30 ,45 ,35 ,1,2,"51,866,828.00  ",0  x   ,unbesetzt,6  x   ,"367,390.00  ",5  x   ,"155,600.40  ",40  x   ,"6,483.30  ",670  x   ,348.30  ,"1,273  x   ",142.60  ,"1,907  x   ",81.50  ,"29,108  x   ",27.60  ,"33,493  x   ",23.20  ,"59,911  x   ",18.60  ,"164,813  x   ",12.20  ,"533,901  x   ",9.20
44.,01/11/,FR,17 ,40 ,31 ,3 ,34 ,2,1,"56,346,456.00  ",0  x   ,unbesetzt,9  x   ,"266,080.40  ",7  x   ,"120,742.40  ",51  x   ,"5,524.10  ","1,020  x   ",248.50  ,"1,760  x   ",112.00  ,"2,296  x   ",73.60  ,"33,320  x   ",26.20  ,"43,413  x   ",19.40  ,"79,637  x   ",15.20  ,"180,249  x   ",12.10  ,"629,561  x   ",8.50
45.,08/11/,FR,49 ,39 ,14 ,23 ,20 ,10,4,"65,733,198.00  ",0  x   ,unbesetzt,3  x   ,"931,220.30  ",13  x   ,"75,845.90  ",58  x   ,"5,666.60  ",968  x   ,305.50  ,"1,836  x   ",125.30  ,"2,683  x   ",73.40  ,"39,345  x   ",25.80  ,"47,436  x   ",20.70  ,"88,975  x   ",15.80  ,"208,383  x   ",12.30  ,"726,253  x   ",8.60
46.,15/11/,FR,24 ,30 ,39 ,10 ,19 ,4,2,"79,740,466.00  ",0  x   ,unbesetzt,8  x   ,"1,617,777.00  ",7  x   ,"170,872.40  ",76  x   ,"5,246.00  ","1,500  x   ",239.20  ,"2,605  x   ",107.10  ,"4,024  x   ",59.40  ,"60,147  x   ",20.50  ,"66,748  x   ",17.90  ,"114,023  x   ",15.00  ,"309,690  x   ",10.00  ,"984,612  x   ",7.70
47.,22/11/,FR,3 ,24 ,12 ,37 ,38 ,3,7,"83,916,218.00  ",3  x   ,"30,000,000.00  ",8  x   ,"2,938,894.20  ",19  x   ,"66,249.60  ",251  x   ,"1,671.60  ","2,276  x   ",165.90  ,"3,419  x   ",85.90  ,"10,082  x   ",24.90  ,"117,893  x   ",12.70  ,"89,653  x   ",12.70  ,"135,565  x   ",12.70  ,"544,590  x   ",6.60  ,"1,149,040  x   ",6.60
48.,29/11/,FR,31 ,2 ,30 ,45 ,3 ,8,6,"42,722,274.00  ",0  x   ,unbesetzt,4  x   ,"453,924.10  ",5  x   ,"128,166.80  ",28  x   ,"7,628.90  ",575  x   ,334.30  ,"1,078  x   ",138.70  ,"1,745  x   ",73.40  ,"27,374  x   ",24.10  ,"29,958  x   ",21.30  ,"54,235  x   ",16.90  ,"151,754  x   ",10.90  ,"468,629  x   ",8.70
49.,06/12/,FR,8 ,14 ,30 ,23 ,45 ,1,9,"44,937,928.00  ",1  x   ,"23,515,066.30  ",4  x   ,"477,465.40  ",7  x   ,"96,295.50  ",57  x   ,"3,941.90  ",792  x   ,255.30  ,"1,624  x   ",96.80  ,"2,007  x   ",67.10  ,"28,975  x   ",24.00  ,"34,292  x   ",19.60  ,"69,934  x   ",13.80  ,"154,630  x   ",11.30  ,"495,052  x   ",8.60
50.,13/12/,FR,25 ,31 ,49 ,38 ,50 ,5,10,"42,861,784.00  ",1  x   ,"10,455,190.60  ",3  x   ,"607,208.60  ",2  x   ,"321,463.30  ",45  x   ,"4,762.40  ",629  x   ,306.60  ,"1,163  x   ",128.90  ,"1,893  x   ",67.90  ,"27,869  x   ",23.80  ,"29,500  x   ",21.70  ,"53,660  x   ",17.10  ,"150,041  x   ",11.10  ,"439,148  x   ",9.30
51.,20/12/,FR,22 ,35 ,12 ,20 ,21 ,4,10,"41,067,602.00  ",0  x   ,unbesetzt,4  x   ,"436,343.20  ",0  x   ,unbesetzt,29  x   ,"7,080.60  ",690  x   ,267.80  ,"1,239  x   ",116.00  ,"1,659  x   ",74.20  ,"24,656  x   ",25.80  ,"32,296  x   ",19.00  ,"61,914  x   ",14.20  ,"128,681  x   ",12.40  ,"468,419  x   ",8.30
52.,27/12/,FR,28 ,45 ,7 ,34 ,12 ,6,3,"40,653,152.00  ",0  x   ,unbesetzt,3  x   ,"575,919.60  ",9  x   ,"136,201.20  ",84  x   ,"2,419.80  ","1,046  x   ",174.80  ,"1,746  x   ",81.40  ,"3,108  x   ",39.20  ,"39,648  x   ",15.80  ,"41,086  x   ",14.80  ,"66,604  x   ",13.10  ,"196,615  x   ",8.00  ,"539,158  x   ",7.20
