Datum,number-1,number-2,number-3,number-4,number-5,EZ-1,EZ-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
08.01.2021,22,25,50, 8,38, 9, 8,"69.970.634,00",Jackpot,"74.024.966,82",11,"270.341,00",19,"55.239,90",67,"5.221,60",1.603,"196,40",2.511,"97,50",2.915,"72,00",43.058,"25,10",61.681,"17,00",101.893,"14,70",223.174,"12,20",858.814,"7,70"
15.01.2021,19,46,10,32,36, 6, 4,"88.618.590,00",1,"90.000.000,00",7,"1.146.823,90",14,"94.948,40",94,"4.713,70",1.439,"277,10",2.547,"121,70",4.817,"55,10",71.484,"19,20",68.801,"19,20",118.958,"16,00",376.379,"9,10",1.014.152,"8,30"
22.01.2021,40,41,38,48,46, 6, 2,"46.514.384,00",1,"13.778.438,60",Jackpot,"1.976.861,32",6,"116.285,90",41,"5.672,40",622,"336,50",1.097,"148,40",1.767,"78,90",28.872,"24,90",27.992,"24,90",49.787,"20,00",173.387,"10,40",450.222,"9,80"
29.01.2021,30,16,36,43,33, 4, 8,"46.038.634,00",1,"11.125.843,80",7,"561.929,00",5,"138.115,90",51,"4.513,50",908,"228,10",1.329,"121,20",2.662,"51,80",39.684,"18,80",34.733,"18,80",58.690,"16,80",218.928,"8,30",519.953,"8,30"
05.02.2021,33,46, 3,16, 2,10, 2,"45.514.632,00",1,"11.023.761,80",6,"322.395,30",6,"113.786,50",49,"4.644,30",790,"259,20",1.654,"96,30",2.011,"67,80",28.731,"24,50",35.500,"19,20",66.941,"14,60",148.682,"11,90",511.044,"8,50"
12.02.2021,27,18,24,44,15, 7, 2,"44.181.040,00",Jackpot,"10.696.176,10",6,"312.949,00",4,"165.678,90",78,"2.832,10",1.093,"181,80",1.581,"97,80",3.143,"42,10",43.869,"15,60",43.162,"15,30",68.140,"13,90",217.025,"7,90",588.195,"7,10"
19.02.2021,35,27,36,38,41, 7, 5,"48.761.956,00",Jackpot,"22.181.735,08",5,"414.476,60",6,"121.904,80",58,"4.203,60",794,"276,30",1.304,"130,80",2.578,"56,70",39.975,"19,10",37.821,"19,10",60.428,"17,30",219.188,"8,60",573.547,"8,10"
26.02.2021,32,24, 3,29,13, 1, 7,"52.840.932,00",Jackpot,"34.651.134,66",2,"1.122.869,80",8,"99.076,70",68,"3.885,30",1.146,"207,40",2.110,"87,60",2.860,"55,40",40.450,"20,20",50.595,"15,60",88.937,"12,70",200.562,"10,20",686.155,"7,30"
05.03.2021,23,40, 9,42,34, 1, 4,"57.952.640,00",Jackpot,"48.317.658,30",7,"351.855,30",3,"289.763,20",62,"4.673,60",1.084,"240,50",2.027,"100,00",2.354,"73,80",34.831,"25,70",45.358,"19,10",84.655,"14,70",189.611,"11,90",650.003,"8,50"
12.03.2021,26,11,34, 6,18, 8, 5,"65.496.724,00",1,"63.605.426,90",5,"556.722,10",13,"75.573,10",125,"2.619,80",1.609,"183,10",2.746,"83,40",4.671,"42,00",60.999,"16,60",63.567,"15,40",108.440,"12,90",316.653,"8,00",838.595,"7,40"
