week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,04/01/,FR,45,6,40,20,29,5,8,"15,516,014.00  ",0  x   ,unbesetzt,2  x   ,"193,950.10  ",2  x   ,"50,427.00  ",30  x   ,"3,103.20  ",245  x   ,300.80  ,343  x   ,135.70  ,985  x   ,66.90  ,"12,021  x   ",26.40  ,"15,343  x   ",17.70  ,"15,485  x   ",17.70  ,"87,574  x   ",10.60  ,"193,691  x   ",9.10
2.,11/01/,FR,37,31,6,41,49,2,3,"16,610,340.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"35,989.00  ",22  x   ,"4,530.00  ",241  x   ,327.30  ,349  x   ,142.70  ,942  x   ,74.90  ,"13,312  x   ",25.50  ,"13,886  x   ",20.60  ,"15,432  x   ",19.30  ,"82,355  x   ",12.10  ,"219,825  x   ",8.60
3.,18/01/,FR,21,13,45,9,28,7,6,"17,486,888.00  ",0  x   ,unbesetzt,2  x   ,"426,215.30  ",2  x   ,"56,832.30  ",26  x   ,"4,035.40  ",616  x   ,134.80  ,610  x   ,86.00  ,"1,223  x   ",60.70  ,"21,742  x   ",16.80  ,"17,491  x   ",16.80  ,"24,478  x   ",12.80  ,"87,233  x   ",12.00  ,"284,454  x   ",7.00
4.,25/01/,FR,37,4,38,13,28,8,7,"23,478,208.00  ",1  x   ,"29,540,641.50  ",2  x   ,"293,477.60  ",0  x   ,unbesetzt,38  x   ,"3,707.00  ",591  x   ,188.60  ,691  x   ,101.90  ,"1,652  x   ",60.40  ,"26,275  x   ",18.30  ,"24,079  x   ",16.80  ,"30,329  x   ",13.90  ,"124,435  x   ",11.30  ,"374,901  x   ",7.10
5.,01/02/,FR,2,26,29,14,4,6,7,"15,725,666.00  ",0  x   ,unbesetzt,1  x   ,"393,141.60  ",2  x   ,"127,412.50  ",28  x   ,"3,369.70  ",386  x   ,193.50  ,511  x   ,92.30  ,"1,091  x   ",61.20  ,"17,442  x   ",18.40  ,"15,252  x   ",17.70  ,"21,412  x   ",13.20  ,"76,471  x   ",12.30  ,"240,472  x   ",7.50
6.,08/02/,FR,43,12,14,17,27,1,7,"15,112,632.00  ",0  x   ,unbesetzt,1  x   ,"377,815.80  ",2  x   ,"49,116.00  ",35  x   ,"2,590.70  ",377  x   ,190.40  ,496  x   ,91.40  ,"1,264  x   ",50.80  ,"17,316  x   ",17.80  ,"18,823  x   ",13.80  ,"22,161  x   ",12.20  ,"90,603  x   ",10.00  ,"239,661  x   ",7.20
7.,15/02/,FR,32,9,26,40,4,3,5,"15,103,722.00  ",0  x   ,unbesetzt,1  x   ,"377,593.00  ",2  x   ,"49,087.00  ",27  x   ,"3,356.30  ",316  x   ,227.00  ,387  x   ,117.00  ,"1,288  x   ",49.80  ,"14,247  x   ",21.70  ,"20,682  x   ",14.00  ,"17,136  x   ",14.00  ,"115,346  x   ",8.00  ,"211,971  x   ",8.00
8.,22/02/,FR,49,3,41,13,46,8,3,"15,232,938.00  ",0  x   ,unbesetzt,1  x   ,"380,823.40  ",2  x   ,"49,507.00  ",19  x   ,"4,810.40  ",251  x   ,288.20  ,351  x   ,130.10  ,"1,135  x   ",57.00  ,"13,731  x   ",22.70  ,"18,543  x   ",15.70  ,"15,599  x   ",15.70  ,"98,821  x   ",9.20  ,"217,775  x   ",8.00
9.,01/03/,FR,44,19,34,28,29,5,1,"16,067,990.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"52,220.90  ",32  x   ,"3,012.70  ",313  x   ,243.80  ,423  x   ,113.90  ,"1,139  x   ",59.90  ,"13,904  x   ",23.60  ,"17,895  x   ",15.40  ,"19,194  x   ",15.00  ,"97,525  x   ",9.80  ,"220,927  x   ",8.30
10.,08/03/,FR,30,10,14,12,43,2,5,"17,036,478.00  ",0  x   ,unbesetzt,5  x   ,"165,522.30  ",1  x   ,"110,737.10  ",40  x   ,"2,555.40  ",344  x   ,235.20  ,489  x   ,104.50  ,"1,588  x   ",45.50  ,"17,371  x   ",20.10  ,"23,201  x   ",13.40  ,"21,514  x   ",13.40  ,"121,824  x   ",8.30  ,"256,451  x   ",7.60
11.,15/03/,FR,4,30,32,50,41,5,7,"18,101,602.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"117,660.40  ",29  x   ,"3,745.10  ",266  x   ,323.20  ,342  x   ,158.70  ,"1,253  x   ",61.30  ,"14,020  x   ",26.40  ,"18,647  x   ",17.80  ,"17,012  x   ",17.80  ,"111,523  x   ",9.70  ,"227,970  x   ",9.10
12.,22/03/,FR,43 ,21 ,48 ,12 ,5 ,5,6,"19,794,766.00  ",0  x   ,unbesetzt,2  x   ,"473,704.60  ",1  x   ,"128,665.90  ",33  x   ,"3,599.00  ",395  x   ,238.00  ,538  x   ,110.30  ,"1,368  x   ",61.40  ,"20,896  x   ",19.40  ,"20,524  x   ",16.60  ,"24,149  x   ",14.70  ,"105,509  x   ",11.20  ,"303,260  x   ",7.40
13.,29/03/,FR,37 ,27 ,1 ,50 ,22 ,7,5,"23,322,162.00  ",0  x   ,unbesetzt,1  x   ,"583,054.00  ",1  x   ,"151,594.00  ",38  x   ,"3,682.40  ",434  x   ,255.20  ,543  x   ,128.80  ,"1,765  x   ",56.10  ,"21,214  x   ",22.50  ,"27,521  x   ",15.50  ,"25,463  x   ",15.50  ,"153,737  x   ",9.10  ,"331,119  x   ",8.00
