week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
14.,05/04/,FR,38 ,22 ,31 ,41 ,37 ,2,6,"26,110,340.00  ",0  x   ,unbesetzt,2  x   ,"326,379.20  ",1  x   ,"169,717.20  ",43  x   ,"3,643.30  ",417  x   ,297.40  ,530  x   ,147.70  ,"1,757  x   ",63.10  ,"20,990  x   ",25.50  ,"29,717  x   ",16.10  ,"27,268  x   ",16.10  ,"172,152  x   ",9.10  ,"327,257  x   ",9.10
15.,12/04/,FR,22 ,8 ,19 ,40 ,32 ,8,1,"30,404,148.00  ",1  x   ,"46,079,338.80  ",5  x   ,"152,020.70  ",5  x   ,"39,525.30  ",64  x   ,"2,850.30  ",737  x   ,195.90  ,"1,084  x   ",84.10  ,"2,559  x   ",50.40  ,"29,403  x   ",21.10  ,"35,087  x   ",14.90  ,"41,012  x   ",13.30  ,"186,437  x   ",9.70  ,"406,046  x   ",8.50
16.,19/04/,FR,24 ,17 ,18 ,25 ,22 ,6,1,"16,628,566.00  ",0  x   ,unbesetzt,1  x   ,"415,714.10  ",4  x   ,"27,021.40  ",32  x   ,"3,117.80  ",369  x   ,214.00  ,554  x   ,90.00  ,"1,161  x   ",60.80  ,"15,715  x   ",21.60  ,"17,156  x   ",16.70  ,"23,028  x   ",12.90  ,"88,746  x   ",11.20  ,"237,939  x   ",8.00
17.,26/04/,FR,11 ,19 ,23 ,49 ,14 ,5,4,"15,952,346.00  ",0  x   ,unbesetzt,1  x   ,"398,808.60  ",0  x   ,unbesetzt,24  x   ,"3,988.00  ",365  x   ,207.50  ,452  x   ,105.80  ,"1,493  x   ",45.40  ,"17,840  x   ",18.30  ,"21,066  x   ",13.10  ,"21,652  x   ",13.10  ,"105,869  x   ",9.00  ,"255,083  x   ",7.10
18.,03/05/,FR,48 ,28 ,16 ,14 ,44 ,7,3,"15,743,664.00  ",1  x   ,"13,486,561.10  ",5  x   ,"85,659.30  ",2  x   ,"85,659.30  ",42  x   ,"2,249.00  ",347  x   ,215.50  ,456  x   ,103.50  ,"1,809  x   ",36.90  ,"16,216  x   ",19.90  ,"25,915  x   ",12.20  ,"19,234  x   ",12.20  ,"139,661  x   ",7.40  ,"227,622  x   ",7.40
19.,10/05/,FR,33 ,35 ,31 ,9 ,6 ,7,1,"14,824,510.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,21  x   ,"4,235.50  ",258  x   ,272.90  ,373  x   ,119.20  ,"1,024  x   ",61.50  ,"12,949  x   ",23.40  ,"15,887  x   ",16.00  ,"17,357  x   ",15.30  ,"87,454  x   ",10.10  ,"206,096  x   ",8.20
20.,17/05/,FR,6 ,32 ,4 ,10 ,13 ,1,8,"14,691,580.00  ",0  x   ,unbesetzt,1  x   ,"737,902.20  ",0  x   ,unbesetzt,20  x   ,"4,407.40  ",316  x   ,220.80  ,515  x   ,85.50  ,"1,388  x   ",44.90  ,"15,287  x   ",19.70  ,"18,908  x   ",13.40  ,"22,413  x   ",11.70  ,"93,343  x   ",9.40  ,"211,805  x   ",7.90
21.,24/05/,FR,20 ,2 ,41 ,4 ,9 ,5,3,"14,792,566.00  ",0  x   ,unbesetzt,1  x   ,"369,814.10  ",2  x   ,"144,003.10  ",27  x   ,"3,287.20  ",273  x   ,257.30  ,355  x   ,125.00  ,"1,319  x   ",47.60  ,"13,877  x   ",21.80  ,"19,467  x   ",14.00  ,"17,657  x   ",14.00  ,"111,497  x   ",8.00  ,"207,854  x   ",8.00
22.,31/05/,FR,9 ,40 ,12 ,5 ,23 ,7,2,"15,273,492.00  ",0  x   ,unbesetzt,3  x   ,"127,279.10  ",3  x   ,"33,092.50  ",55  x   ,"1,666.10  ",483  x   ,150.20  ,599  x   ,76.40  ,"2,251  x   ",28.80  ,"19,815  x   ",15.80  ,"27,543  x   ",10.50  ,"23,648  x   ",10.50  ,"128,303  x   ",7.10  ,"254,340  x   ",6.80
23.,07/06/,FR,9 ,35 ,6 ,11 ,29 ,6,2,"15,448,268.00  ",0  x   ,unbesetzt,1  x   ,"386,206.70  ",3  x   ,"33,471.20  ",41  x   ,"2,260.70  ",419  x   ,175.10  ,526  x   ,88.10  ,"1,711  x   ",38.30  ,"17,553  x   ",18.00  ,"21,658  x   ",12.30  ,"23,015  x   ",12.00  ,"106,140  x   ",8.70  ,"231,697  x   ",7.60
24.,14/06/,FR,1 ,47 ,48 ,25 ,46 ,8,3,"16,194,540.00  ",0  x   ,unbesetzt,2  x   ,"202,431.70  ",1  x   ,"105,264.50  ",16  x   ,"6,072.90  ",277  x   ,277.70  ,334  x   ,145.40  ,"1,020  x   ",67.40  ,"13,009  x   ",25.50  ,"16,294  x   ",17.80  ,"15,756  x   ",17.80  ,"99,371  x   ",9.70  ,"200,909  x   ",9.20
25.,21/06/,FR,5 ,50 ,14 ,23 ,21 ,7,2,"16,685,916.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"54,229.20  ",29  x   ,"3,452.20  ",386  x   ,205.30  ,462  x   ,108.30  ,"1,836  x   ",38.60  ,"17,325  x   ",19.70  ,"26,356  x   ",12.20  ,"21,792  x   ",12.20  ,"134,367  x   ",7.60  ,"248,186  x   ",7.60
26.,28/06/,FR,49 ,23 ,33 ,8 ,6 ,8,3,"18,944,572.00  ",0  x   ,unbesetzt,2  x   ,"445,381.10  ",0  x   ,unbesetzt,35  x   ,"3,247.60  ",459  x   ,196.00  ,526  x   ,108.00  ,"1,821  x   ",44.20  ,"20,729  x   ",18.70  ,"26,379  x   ",13.20  ,"23,977  x   ",13.20  ,"128,108  x   ",8.80  ,"299,330  x   ",7.20
27.,05/07/,FR,16 ,50 ,15 ,19 ,17 ,7,5,"21,452,856.00  ",0  x   ,unbesetzt,1  x   ,"536,321.40  ",1  x   ,"262,583.20  ",43  x   ,"2,993.40  ",440  x   ,231.50  ,474  x   ,135.70  ,"1,746  x   ",52.20  ,"19,117  x   ",23.00  ,"26,691  x   ",15.50  ,"21,838  x   ",15.50  ,"152,989  x   ",8.40  ,"304,672  x   ",8.00
28.,12/07/,FR,47 ,33 ,48 ,7 ,27 ,2,7,"23,069,824.00  ",0  x   ,unbesetzt,3  x   ,"192,248.50  ",0  x   ,unbesetzt,62  x   ,"2,232.50  ",681  x   ,160.90  ,754  x   ,91.70  ,"3,245  x   ",30.20  ,"28,515  x   ",16.50  ,"39,771  x   ",11.40  ,"31,301  x   ",11.40  ,"191,021  x   ",7.30  ,"354,576  x   ",7.30
29.,19/07/,FR,7 ,37 ,19 ,33 ,18 ,2,5,"26,610,134.00  ",1  x   ,"41,522,930.10  ",7  x   ,"95,036.10  ",8  x   ,"40,364.90  ",78  x   ,"2,046.90  ",801  x   ,157.80  ,"1,050  x   ",76.00  ,"3,133  x   ",36.00  ,"34,238  x   ",15.90  ,"40,948  x   ",11.30  ,"41,742  x   ",11.30  ,"191,425  x   ",8.30  ,"440,370  x   ",6.90
30.,26/07/,FR,13 ,25 ,4 ,19 ,43 ,3,4,"16,136,078.00  ",0  x   ,unbesetzt,4  x   ,"101,657.20  ",1  x   ,"101,657.20  ",38  x   ,"2,547.80  ",490  x   ,156.40  ,559  x   ,86.50  ,"1,503  x   ",45.60  ,"21,231  x   ",15.50  ,"19,528  x   ",14.20  ,"22,399  x   ",12.90  ,"93,475  x   ",10.30  ,"277,668  x   ",6.60
31.,02/08/,FR,14 ,37 ,29 ,33 ,23 ,5,2,"16,256,900.00  ",0  x   ,unbesetzt,1  x   ,"406,422.50  ",2  x   ,"52,834.90  ",67  x   ,"1,455.80  ",540  x   ,143.00  ,593  x   ,82.20  ,"2,006  x   ",34.40  ,"19,291  x   ",17.20  ,"25,801  x   ",11.70  ,"23,012  x   ",11.70  ,"119,849  x   ",8.10  ,"256,310  x   ",7.20
32.,09/08/,FR,34 ,49 ,7 ,32 ,26 ,6,1,"16,359,850.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,22  x   ,"4,461.70  ",335  x   ,231.90  ,437  x   ,112.30  ,"1,193  x   ",58.20  ,"15,213  x   ",22.00  ,"17,532  x   ",16.00  ,"22,177  x   ",13.20  ,"92,601  x   ",10.60  ,"216,919  x   ",8.60
33.,16/08/,FR,32 ,38 ,33 ,49 ,5 ,8,3,"16,252,982.00  ",1  x   ,"15,541,392.00  ",2  x   ,"407,660.40  ",1  x   ,"211,983.40  ",32  x   ,"3,047.40  ",361  x   ,213.80  ,440  x   ,110.80  ,"1,459  x   ",47.30  ,"15,110  x   ",22.00  ,"21,298  x   ",14.30  ,"18,511  x   ",14.30  ,"110,928  x   ",8.70  ,"231,175  x   ",8.00
34.,23/08/,FR,10 ,4 ,25 ,30 ,47 ,2,3,"15,026,618.00  ",0  x   ,unbesetzt,3  x   ,"125,221.80  ",8  x   ,"12,209.10  ",19  x   ,"4,745.20  ",360  x   ,198.20  ,423  x   ,106.50  ,997  x   ,64.00  ,"15,795  x   ",19.50  ,"14,379  x   ",18.00  ,"17,785  x   ",15.20  ,"76,905  x   ",11.70  ,"226,817  x   ",7.60
35.,30/08/,FR,9 ,43 ,17 ,6 ,10 ,8,2,"15,359,870.00  ",0  x   ,unbesetzt,2  x   ,"191,998.30  ",1  x   ,"99,839.10  ",33  x   ,"2,792.70  ",382  x   ,190.90  ,475  x   ,97.00  ,"1,446  x   ",45.10  ,"16,635  x   ",18.90  ,"19,925  x   ",13.20  ,"21,915  x   ",12.60  ,"100,280  x   ",9.10  ,"233,003  x   ",7.50
36.,06/09/,FR,7 ,32 ,44 ,3 ,20 ,5,4,"15,552,022.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"50,544.00  ",31  x   ,"3,010.00  ",409  x   ,180.60  ,494  x   ,94.40  ,"1,316  x   ",50.20  ,"16,087  x   ",19.80  ,"18,933  x   ",14.10  ,"20,693  x   ",13.50  ,"98,229  x   ",9.40  ,"229,713  x   ",7.70
37.,13/09/,FR,3 ,10 ,43 ,18 ,31 ,1,7,"16,472,014.00  ",0  x   ,unbesetzt,2  x   ,"400,300.40  ",0  x   ,unbesetzt,36  x   ,"2,745.30  ",411  x   ,190.30  ,514  x   ,96.10  ,"1,373  x   ",50.90  ,"16,771  x   ",20.10  ,"19,304  x   ",14.70  ,"20,875  x   ",14.20  ,"102,457  x   ",9.60  ,"235,178  x   ",8.00
38.,20/09/,FR,15 ,2 ,6 ,24 ,18 ,5,7,"16,635,674.00  ",0  x   ,unbesetzt,3  x   ,"138,630.60  ",5  x   ,"43,039.90  ",39  x   ,"2,559.30  ",472  x   ,167.40  ,644  x   ,77.40  ,"1,531  x   ",46.10  ,"19,296  x   ",17.60  ,"21,147  x   ",13.50  ,"23,669  x   ",12.60  ,"113,908  x   ",8.70  ,"257,832  x   ",7.40
39.,27/09/,FR,10 ,36 ,21 ,34 ,6 ,4,1,"17,849,806.00  ",1  x   ,"21,256,582.40  ",6  x   ,"74,374.10  ",2  x   ,"58,011.80  ",26  x   ,"4,119.10  ",352  x   ,240.80  ,508  x   ,105.40  ,"1,264  x   ",60.00  ,"15,941  x   ",22.90  ,"18,252  x   ",16.80  ,"22,164  x   ",14.40  ,"96,643  x   ",11.00  ,"238,822  x   ",8.50
40.,04/10/,FR,7 ,48 ,16 ,21 ,1 ,1,8,"15,058,424.00  ",0  x   ,unbesetzt,1  x   ,"376,460.60  ",1  x   ,"97,879.70  ",17  x   ,"5,314.70  ",269  x   ,265.90  ,355  x   ,127.20  ,"1,097  x   ",58.30  ,"13,721  x   ",22.40  ,"18,147  x   ",14.40  ,"18,668  x   ",14.40  ,"93,795  x   ",9.60  ,"200,700  x   ",8.60
41.,11/10/,FR,34 ,2 ,11 ,29 ,23 ,7,8,"14,879,350.00  ",0  x   ,unbesetzt,3  x   ,"123,994.50  ",2  x   ,"48,357.80  ",25  x   ,"3,571.00  ",366  x   ,193.10  ,454  x   ,98.30  ,971  x   ,65.10  ,"16,597  x   ",18.30  ,"14,594  x   ",17.50  ,"19,873  x   ",13.40  ,"77,179  x   ",11.50  ,"235,949  x   ",7.20
42.,18/10/,FR,24 ,41 ,7 ,25 ,22 ,1,3,"15,201,994.00  ",1  x   ,"13,308,947.80  ",2  x   ,"190,024.90  ",1  x   ,"98,812.90  ",26  x   ,"3,508.10  ",283  x   ,255.10  ,379  x   ,120.30  ,"1,096  x   ",58.90  ,"15,229  x   ",20.40  ,"16,009  x   ",16.30  ,"18,990  x   ",14.40  ,"85,279  x   ",10.60  ,"229,355  x   ",7.60
43.,25/10/,FR,9 ,41 ,25 ,46 ,39 ,8,2,"14,374,838.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,29  x   ,"2,974.10  ",298  x   ,229.10  ,357  x   ,120.70  ,"1,033  x   ",59.10  ,"12,154  x   ",24.20  ,"15,740  x   ",16.00  ,"15,832  x   ",16.00  ,"89,259  x   ",9.60  ,"185,394  x   ",8.80
44.,01/11/,FR,26 ,13 ,27 ,7 ,10 ,8,5,"14,138,518.00  ",0  x   ,unbesetzt,1  x   ,"712,833.90  ",2  x   ,"92,668.40  ",30  x   ,"2,827.70  ",468  x   ,143.40  ,662  x   ,64.00  ,"1,471  x   ",40.80  ,"20,352  x   ",14.20  ,"18,965  x   ",12.80  ,"27,219  x   ",9.50  ,"88,504  x   ",9.50  ,"250,401  x   ",6.40
45.,08/11/,FR,42 ,28 ,34 ,25 ,18 ,4,3,"15,300,326.00  ",0  x   ,unbesetzt,4  x   ,"95,627.00  ",3  x   ,"33,150.70  ",33  x   ,"2,781.80  ",374  x   ,194.30  ,384  x   ,119.50  ,"1,225  x   ",53.00  ,"16,440  x   ",19.00  ,"17,050  x   ",15.40  ,"18,149  x   ",15.10  ,"86,325  x   ",10.60  ,"236,900  x   ",7.40
46.,15/11/,FR,3 ,43 ,19 ,48 ,32 ,4,8,"15,722,118.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,41  x   ,"2,300.70  ",357  x   ,209.10  ,516  x   ,91.40  ,"1,283  x   ",52.00  ,"14,908  x   ",21.60  ,"18,447  x   ",14.70  ,"20,851  x   ",13.50  ,"96,704  x   ",9.70  ,"213,081  x   ",8.40
47.,22/11/,FR,1 ,47 ,38 ,42 ,39 ,2,1,"16,126,114.00  ",0  x   ,unbesetzt,2  x   ,"398,102.90  ",2  x   ,"103,506.70  ",27  x   ,"3,583.50  ",224  x   ,341.90  ,263  x   ,183.90  ,949  x   ,72.20  ,"12,526  x   ",26.30  ,"14,221  x   ",19.50  ,"15,081  x   ",19.20  ,"78,482  x   ",12.30  ,"197,326  x   ",9.30
48.,29/11/,FR,35 ,17 ,25 ,32 ,45 ,7,4,"16,620,202.00  ",0  x   ,unbesetzt,2  x   ,"207,752.50  ",1  x   ,"108,031.30  ",31  x   ,"3,216.80  ",420  x   ,187.90  ,479  x   ,104.00  ,"1,624  x   ",43.40  ,"17,755  x   ",19.10  ,"22,077  x   ",13.30  ,"21,718  x   ",13.30  ,"115,157  x   ",8.60  ,"240,226  x   ",7.90
49.,06/12/,FR,47 ,18 ,8 ,25 ,1 ,7,2,"17,891,662.00  ",1  x   ,"21,047,334.80  ",2  x   ,"223,645.70  ",0  x   ,unbesetzt,63  x   ,"1,703.90  ",388  x   ,219.00  ,505  x   ,106.20  ,"1,868  x   ",40.70  ,"17,556  x   ",20.80  ,"26,409  x   ",12.90  ,"22,204  x   ",12.90  ,"142,095  x   ",7.80  ,"256,283  x   ",7.80
50.,13/12/,FR,28 ,49 ,24 ,9 ,19 ,8,2,"15,241,522.00  ",0  x   ,unbesetzt,2  x   ,"190,519.00  ",2  x   ,"107,682.80  ",30  x   ,"3,048.30  ",374  x   ,193.50  ,469  x   ,97.40  ,"1,748  x   ",37.00  ,"17,557  x   ",17.70  ,"21,667  x   ",12.10  ,"22,758  x   ",12.00  ,"105,006  x   ",8.70  ,"235,161  x   ",7.40
51.,20/12/,FR,37 ,12 ,22 ,9 ,40 ,8,6,"15,204,040.00  ",0  x   ,unbesetzt,3  x   ,"126,700.30  ",4  x   ,"24,706.50  ",34  x   ,"2,683.00  ",414  x   ,174.40  ,504  x   ,90.50  ,"1,128  x   ",57.20  ,"17,911  x   ",17.40  ,"15,284  x   ",17.10  ,"21,905  x   ",12.40  ,"78,891  x   ",11.50  ,"231,010  x   ",7.50
52.,27/12/,FR,2 ,15 ,43 ,40 ,33 ,3,7,"14,732,716.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"95,762.60  ",22  x   ,"4,018.00  ",275  x   ,254.40  ,294  x   ,150.30  ,"1,381  x   ",45.30  ,"12,787  x   ",23.60  ,"21,593  x   ",14.10  ,"15,186  x   ",14.10  ,"127,014  x   ",7.90  ,"195,708  x   ",7.90
