Datum,number-1,number-2,number-3,number-4,number-5,EZ-1,EZ-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
15.05.2020,34,49,29,21,27, 8,10,"44.165.324,00",Jackpot,"10.657.088,22",3,"625.675,40",3,"220.826,60",31,"7.123,40",696,"285,50",1.290,"119,80",1.635,"81,00",24.467,"27,90",32.755,"20,20",63.197,"15,00",130.000,"13,20",483.058,"8,70"
22.05.2020,15,40,32,45,12, 7,10,"45.784.908,00",Jackpot,"21.574.419,04",4,"486.464,60",6,"114.462,20",51,"4.488,70",811,"254,00",1.429,"112,10",1.766,"77,70",25.688,"27,60",34.928,"19,60",63.015,"15,60",137.776,"12,90",509.277,"8,50"
29.05.2020,22,31,36, 8,32, 6,10,"49.515.290,00",1,"33.290.606,90",3,"701.466,60",4,"185.682,30",45,"5.501,60",653,"341,20",1.325,"130,70",1.855,"80,00",26.384,"29,00",33.536,"22,10",67.892,"15,60",145.440,"13,20",512.630,"9,20"
05.06.2020,29,39, 9,16,17, 1, 8,"41.951.474,00",Jackpot,"10.555.675,22",4,"445.734,40",8,"78.659,00",44,"4.767,20",798,"236,50",1.586,"92,50",2.096,"60,00",28.782,"22,50",37.178,"16,90",70.160,"12,80",148.099,"11,00",500.641,"8,00"
12.06.2020, 7,22,30,48,16, 8, 2,"44.339.686,00",Jackpot,"21.069.963,78",3,"628.145,50",6,"110.849,20",68,"3.260,20",829,"240,60",1.335,"116,20",2.722,"48,80",39.930,"17,70",36.234,"17,70",63.024,"15,10",211.210,"8,10",529.252,"8,00"
19.06.2020,38,47,33, 2,22, 9, 2,"48.172.672,00",Jackpot,"32.426.518,76",4,"511.834,60",6,"120.431,60",72,"3.345,30",947,"228,90",1.508,"111,80",3.006,"48,00",40.619,"18,30",39.424,"18,30",68.435,"15,10",205.726,"9,10",565.413,"8,10"
26.06.2020,47,34,14,32,16, 7, 9,"51.192.870,00",1,"44.565.942,80",6,"362.616,10",9,"85.321,40",59,"4.338,30",1.027,"224,30",1.745,"102,60",2.448,"62,70",35.445,"22,30",44.285,"17,30",72.644,"15,10",185.201,"10,70",614.923,"7,90"
03.07.2020,12,36,48,34,47, 7, 5,"42.878.852,00",Jackpot,"10.844.459,36",2,"911.175,60",2,"321.591,30",60,"3.573,20",799,"241,40",1.282,"117,00",2.669,"48,10",35.537,"18,70",37.411,"17,10",59.259,"15,50",191.548,"8,70",520.363,"7,80"
10.07.2020, 5, 9, 6,29,15, 4, 9,"46.371.114,00",Jackpot,"21.813.231,72",4,"492.693,00",11,"63.233,30",65,"3.567,00",1.073,"194,40",1.972,"82,30",2.695,"51,60",38.164,"18,80",45.673,"15,20",80.100,"12,40",194.234,"9,30",599.956,"7,30"
17.07.2020,13,21,25,35,34, 5,10,"49.718.822,00",Jackpot,"33.602.226,26",2,"1.056.524,90",8,"93.222,70",45,"5.524,30",907,"246,60",1.720,"101,10",2.369,"62,90",34.475,"22,30",41.123,"18,10",80.026,"13,30",171.751,"11,20",579.992,"8,10"
24.07.2020, 7,11,43,19,32, 2, 8,"53.871.124,00",Jackpot,"46.356.047,42",7,"327.074,60",12,"67.338,90",149,"1.807,70",1.414,"171,40",2.543,"74,10",4.653,"34,70",55.767,"14,90",55.118,"14,60",94.807,"12,20",265.028,"7,90",717.154,"7,10"
31.07.2020, 3,19,43,28,49, 3, 2,"60.160.420,00",Jackpot,"60.486.680,30",4,"639.204,40",7,"128.915,10",75,"4.010,60",1.346,"201,10",1.994,"105,50",2.777,"64,90",39.597,"23,50",57.166,"15,70",83.707,"15,40",207.560,"11,30",815.920,"7,00"
07.08.2020,28,24,15, 9, 4, 2, 6,"67.491.386,00",2,"38.145.589,70",7,"409.769,10",14,"72.312,10",111,"3.040,10",1.635,"185,70",2.933,"80,50",4.213,"48,00",56.309,"18,50",62.604,"16,10",112.880,"12,80",276.331,"9,50",867.952,"7,40"
14.08.2020,35, 9,48,27,20, 9, 5,"43.918.604,00",Jackpot,"11.999.943,92",4,"466.635,10",6,"109.796,50",44,"4.990,70",815,"242,40",1.467,"104,70",2.639,"49,90",34.660,"19,60",36.424,"18,00",62.340,"15,10",173.921,"9,80",527.690,"7,90"
21.08.2020,26,27,49,30,46, 2, 1,"46.425.284,00",Jackpot,"23.033.222,32",Jackpot,"1.973.074,57",7,"99.482,70",40,"5.803,10",636,"328,40",1.232,"131,80",1.578,"88,20",25.749,"27,90",30.645,"22,70",56.850,"17,50",142.947,"12,60",493.058,"8,90"
