week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
16.,17/04/,FR,20 ,13 ,5 ,33 ,6 ,8,3,"38,178,262.00  ",0  x   ,unbesetzt,6  x   ,"313,607.10  ",1  x   ,"313,607.10  ",93  x   ,"2,052.50  ",907  x   ,189.40  ,"1,428  x   ",93.50  ,"3,073  x   ",37.20  ,"41,937  x   ",14.20  ,"39,662  x   ",14.20  ,"61,263  x   ",13.30  ,"201,696  x   ",7.30  ,"532,167  x   ",6.80
17.,24/04/,FR,33 ,27 ,17 ,46 ,4 ,3,9,"47,999,032.00  ",0  x   ,unbesetzt,7  x   ,"291,422.60  ",12  x   ,"59,998.70  ",90  x   ,"2,666.60  ","1,104  x   ",195.60  ,"1,918  x   ",87.50  ,"3,093  x   ",46.50  ,"40,043  x   ",18.50  ,"44,622  x   ",16.10  ,"78,229  x   ",13.10  ,"199,730  x   ",9.30  ,"600,434  x   ",7.60
18.,01/05/,FR,25 ,50 ,30 ,8 ,24 ,4,6,"58,014,530.00  ",0  x   ,unbesetzt,1  x   ,"2,465,617.50  ",4  x   ,"217,554.40  ",60  x   ,"4,834.50  ",953  x   ,273.90  ,"1,637  x   ",124.00  ,"3,011  x   ",57.80  ,"46,936  x   ",19.50  ,"43,483  x   ",19.50  ,"75,949  x   ",16.40  ,"261,882  x   ",8.60  ,"670,259  x   ",8.20
19.,08/05/,FR,31 ,19 ,46 ,40 ,32 ,9,8,"80,763,988.00  ",0  x   ,unbesetzt,2  x   ,"4,323,237.70  ",4  x   ,"302,864.90  ",69  x   ,"5,852.40  ","1,200  x   ",302.80  ,"2,050  x   ",137.80  ,"2,952  x   ",82.00  ,"43,362  x   ",28.80  ,"57,715  x   ",20.90  ,"99,237  x   ",17.40  ,"235,211  x   ",13.30  ,"867,644  x   ",8.80
20.,15/05/,FR,38 ,12 ,14 ,46 ,18 ,9,10,"80,751,046.00  ",1  x   ,"90,000,000.00  ",3  x   ,"7,643,519.60  ",6  x   ,"201,877.60  ",73  x   ,"5,530.80  ","1,358  x   ",267.50  ,"3,050  x   ",92.60  ,"3,113  x   ",77.80  ,"45,170  x   ",27.70  ,"59,769  x   ",20.20  ,"133,744  x   ",13.10  ,"237,245  x   ",13.10  ,"838,201  x   ",9.20
21.,22/05/,FR,24 ,23 ,50 ,39 ,8 ,5,1,"27,871,394.00  ",0  x   ,unbesetzt,3  x   ,"394,844.70  ",2  x   ,"209,035.40  ",29  x   ,"4,805.40  ",475  x   ,264.00  ,782  x   ,124.70  ,"1,341  x   ",62.30  ,"19,818  x   ",21.70  ,"21,724  x   ",19.20  ,"39,862  x   ",15.00  ,"109,855  x   ",9.80  ,"325,395  x   ",8.10
22.,29/05/,FR,16 ,38 ,28 ,6 ,1 ,1,6,"27,562,098.00  ",0  x   ,unbesetzt,2  x   ,"585,694.50  ",1  x   ,"413,431.40  ",58  x   ,"2,376.00  ",487  x   ,254.60  ,783  x   ,123.20  ,"2,055  x   ",40.20  ,"21,511  x   ",19.80  ,"21,545  x   ",19.10  ,"37,610  x   ",15.70  ,"97,882  x   ",10.90  ,"319,802  x   ",8.20
23.,05/06/,FR,40 ,19 ,41 ,50 ,38 ,5,1,"27,821,978.00  ",1  x   ,"23,251,598.30  ",1  x   ,"1,182,434.00  ",1  x   ,"417,329.60  ",21  x   ,"6,624.20  ",380  x   ,329.40  ,650  x   ,149.80  ,"1,181  x   ",70.60  ,"17,738  x   ",24.30  ,"18,390  x   ",22.60  ,"31,658  x   ",18.80  ,"100,373  x   ",10.80  ,"289,369  x   ",9.10
24.,12/06/,FR,27 ,23 ,17 ,30 ,39 ,6,8,"24,212,022.00  ",0  x   ,unbesetzt,3  x   ,"343,003.60  ",3  x   ,"121,060.10  ",29  x   ,"4,174.40  ",476  x   ,228.80  ,836  x   ,101.30  ,"1,215  x   ",59.70  ,"17,518  x   ",21.40  ,"22,274  x   ",16.30  ,"37,650  x   ",13.80  ,"91,751  x   ",10.20  ,"310,588  x   ",7.40
25.,19/06/,FR,21 ,12 ,14 ,39 ,20 ,10,5,"24,547,710.00  ",0  x   ,unbesetzt,1  x   ,"1,043,277.60  ",2  x   ,"184,107.80  ",23  x   ,"5,336.40  ",349  x   ,316.50  ,738  x   ,116.40  ,896  x   ,82.10  ,"13,128  x   ",28.90  ,"18,197  x   ",20.20  ,"36,907  x   ",14.30  ,"69,897  x   ",13.60  ,"265,549  x   ",8.80
