week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
16.,22/04/,FR,31 ,5 ,33 ,49 ,28 ,2,1,"30,121,798.00  ",1  x   ,"29,071,164.30  ",3  x   ,"426,725.40  ",2  x   ,"225,913.40  ",30  x   ,"5,020.20  ",447  x   ,303.20  ,899  x   ,117.20  ,"1,203  x   ",75.10  ,"17,473  x   ",26.70  ,"22,920  x   ",19.70  ,"41,216  x   ",15.70  ,"97,355  x   ",12.00  ,"344,213  x   ",8.30
17.,29/04/,FR,24 ,10 ,40 ,14 ,20 ,2,10,"25,608,238.00  ",0  x   ,unbesetzt,2  x   ,"544,175.00  ",2  x   ,"192,061.70  ",20  x   ,"6,402.00  ",480  x   ,240.00  ,880  x   ,101.80  ,"1,020  x   ",75.30  ,"13,972  x   ",28.40  ,"21,331  x   ",18.00  ,"41,046  x   ",13.60  ,"72,551  x   ",13.60  ,"267,450  x   ",9.10
18.,06/05/,FR,45 ,24 ,46 ,12 ,38 ,10,6,"24,871,460.00  ",1  x   ,"14,476,862.80  ",3  x   ,"352,345.60  ",7  x   ,"53,295.90  ",23  x   ,"5,406.80  ",513  x   ,218.10  ,"1,106  x   ",83.10  ,839  x   ,83.10  ,"11,751  x   ",32.80  ,"19,486  x   ",19.10  ,"41,105  x   ",14.50  ,"62,555  x   ",14.50  ,"253,226  x   ",9.30
19.,13/05/,FR,39 ,7 ,6 ,36 ,40 ,10,1,"24,794,782.00  ",1  x   ,"10,000,000.00  ",1  x   ,"1,053,778.20  ",3  x   ,"123,973.90  ",25  x   ,"4,958.90  ",295  x   ,378.20  ,673  x   ,128.90  ,895  x   ,83.10  ,"13,268  x   ",28.90  ,"14,449  x   ",25.70  ,"33,192  x   ",16.00  ,"74,234  x   ",13.00  ,"226,163  x   ",10.40
20.,20/05/,FR,6 ,23 ,19 ,33 ,34 ,7,4,"23,399,288.00  ",0  x   ,unbesetzt,3  x   ,"331,489.90  ",2  x   ,"175,494.60  ",37  x   ,"3,162.00  ",474  x   ,222.10  ,692  x   ,118.30  ,"1,850  x   ",37.90  ,"27,718  x   ",14.50  ,"21,392  x   ",14.50  ,"35,046  x   ",14.30  ,"139,774  x   ",6.90  ,"312,923  x   ",6.90
21.,27/05/,FR,4 ,48 ,33 ,10 ,26 ,5,9,"23,635,850.00  ",0  x   ,unbesetzt,4  x   ,"251,130.90  ",10  x   ,"35,453.70  ",45  x   ,"2,626.20  ",505  x   ,210.60  ,963  x   ,85.90  ,"1,300  x   ",54.50  ,"18,220  x   ",20.10  ,"19,620  x   ",18.00  ,"36,909  x   ",13.70  ,"93,736  x   ",9.80  ,"279,136  x   ",8.00
22.,03/06/,FR,13 ,32 ,20 ,47 ,34 ,6,9,"25,352,634.00  ",0  x   ,unbesetzt,2  x   ,"538,743.40  ",1  x   ,"380,289.50  ",20  x   ,"6,338.10  ",417  x   ,273.50  ,804  x   ,110.30  ,"1,017  x   ",74.70  ,"14,944  x   ",26.20  ,"19,695  x   ",19.30  ,"36,977  x   ",14.70  ,"79,550  x   ",12.40  ,"276,567  x   ",8.70
23.,10/06/,FR,12 ,26 ,28 ,37 ,11 ,10,8,"26,906,386.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,6  x   ,"67,265.90  ",26  x   ,"5,174.30  ",454  x   ,266.60  ,"1,025  x   ",91.80  ,"1,054  x   ",76.50  ,"14,410  x   ",28.90  ,"21,426  x   ",18.80  ,"45,743  x   ",13.60  ,"73,760  x   ",13.60  ,"316,099  x   ",8.10
24.,17/06/,FR,44 ,16 ,23 ,18 ,19 ,3,1,"28,655,240.00  ",0  x   ,unbesetzt,5  x   ,"472,273.80  ",4  x   ,"107,457.10  ",30  x   ,"4,775.80  ",523  x   ,246.50  ,919  x   ,109.10  ,"1,316  x   ",65.30  ,"20,736  x   ",21.40  ,"24,791  x   ",17.30  ,"41,250  x   ",14.90  ,"107,570  x   ",10.30  ,"372,853  x   ",7.30
25.,24/06/,FR,24 ,19 ,48 ,21 ,41 ,6,1,"30,976,322.00  ",0  x   ,unbesetzt,1  x   ,"1,316,493.60  ",3  x   ,"154,881.60  ",23  x   ,"6,733.90  ",470  x   ,296.50  ,854  x   ,126.90  ,"1,203  x   ",77.20  ,"19,676  x   ",24.40  ,"21,001  x   ",22.10  ,"40,143  x   ",16.50  ,"108,703  x   ",11.10  ,"329,420  x   ",8.90
26.,01/07/,FR,50 ,47 ,37 ,29 ,38 ,2,4,"35,096,710.00  ",0  x   ,unbesetzt,3  x   ,"497,203.30  ",2  x   ,"263,225.30  ",25  x   ,"7,019.30  ",525  x   ,300.80  ,832  x   ,147.60  ,"1,554  x   ",67.70  ,"23,733  x   ",22.90  ,"25,413  x   ",20.70  ,"42,036  x   ",17.90  ,"135,141  x   ",10.10  ,"393,767  x   ",8.50
27.,08/07/,FR,31 ,21 ,4 ,42 ,19 ,5,10,"37,560,426.00  ",0  x   ,unbesetzt,3  x   ,"532,106.00  ",10  x   ,"56,340.60  ",27  x   ,"6,955.60  ",572  x   ,295.40  ,"1,342  x   ",97.90  ,"1,528  x   ",73.70  ,"21,375  x   ",27.20  ,"27,038  x   ",20.80  ,"55,294  x   ",14.60  ,"116,032  x   ",12.60  ,"397,967  x   ",9.00
28.,15/07/,FR,12 ,38 ,36 ,50 ,22 ,9,2,"43,393,450.00  ",0  x   ,unbesetzt,1  x   ,"1,844,221.60  ",5  x   ,"130,180.30  ",45  x   ,"4,821.40  ",714  x   ,273.40  ,"1,256  x   ",120.90  ,"2,370  x   ",54.90  ,"33,645  x   ",19.90  ,"32,986  x   ",19.70  ,"59,303  x   ",15.70  ,"177,398  x   ",9.50  ,"494,344  x   ",8.30
29.,22/07/,FR,14 ,26 ,20 ,6 ,46 ,4,2,"49,072,822.00  ",0  x   ,unbesetzt,5  x   ,"417,118.90  ",4  x   ,"184,023.00  ",59  x   ,"4,158.70  ",954  x   ,231.40  ,"1,646  x   ",104.30  ,"2,480  x   ",59.30  ,"35,548  x   ",21.30  ,"41,884  x   ",17.50  ,"69,017  x   ",15.20  ,"190,027  x   ",10.00  ,"585,311  x   ",8.00
30.,29/07/,FR,22 ,8 ,36 ,4 ,44 ,5,10,"62,567,082.00  ",1  x   ,"84,777,435.80  ",11  x   ,"241,736.40  ",18  x   ,"52,139.20  ",67  x   ,"4,669.10  ","1,336  x   ",210.70  ,"3,082  x   ",71.00  ,"2,903  x   ",64.60  ,"39,695  x   ",24.40  ,"51,956  x   ",18.00  ,"109,702  x   ",12.20  ,"203,828  x   ",11.90  ,"701,076  x   ",8.50
31.,05/08/,FR,11 ,12 ,40 ,5 ,30 ,5,2,"27,124,102.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"406,861.50  ",54  x   ,"2,511.40  ",561  x   ,217.50  ,867  x   ,109.40  ,"1,811  x   ",44.90  ,"25,294  x   ",16.60  ,"25,760  x   ",15.70  ,"39,920  x   ",14.60  ,"124,954  x   ",8.40  ,"356,437  x   ",7.20
32.,12/08/,FR,15 ,6 ,38 ,21 ,18 ,4,1,"27,261,204.00  ",0  x   ,unbesetzt,2  x   ,"1,155,687.70  ",4  x   ,"102,229.50  ",28  x   ,"4,868.00  ",550  x   ,223.00  ,980  x   ,97.30  ,"1,226  x   ",66.70  ,"17,730  x   ",23.80  ,"23,069  x   ",17.70  ,"41,929  x   ",13.90  ,"91,273  x   ",11.60  ,"325,973  x   ",7.90
33.,19/08/,FR,46 ,22 ,33 ,43 ,42 ,10,6,"27,926,904.00  ",0  x   ,unbesetzt,1  x   ,"1,186,893.40  ",3  x   ,"139,634.50  ",16  x   ,"8,727.10  ",351  x   ,358.00  ,799  x   ,122.30  ,903  x   ,92.70  ,"13,808  x   ",31.30  ,"18,125  x   ",23.10  ,"38,044  x   ",15.70  ,"73,261  x   ",14.80  ,"274,127  x   ",9.70
34.,26/08/,FR,9 ,33 ,4 ,8 ,43 ,5,9,"28,911,242.00  ",0  x   ,unbesetzt,2  x   ,"614,363.80  ",4  x   ,"108,417.10  ",21  x   ,"6,883.60  ",495  x   ,262.80  ,827  x   ,122.30  ,"1,407  x   ",61.60  ,"21,654  x   ",20.60  ,"23,537  x   ",18.40  ,"42,445  x   ",14.60  ,"111,512  x   ",10.10  ,"359,566  x   ",7.60
35.,02/09/,FR,30 ,28 ,15 ,50 ,42 ,8,1,"32,234,482.00  ",0  x   ,unbesetzt,2  x   ,"684,982.70  ",0  x   ,unbesetzt,26  x   ,"6,198.90  ",479  x   ,302.80  ,869  x   ,129.80  ,"1,369  x   ",70.60  ,"21,378  x   ",23.30  ,"22,982  x   ",21.00  ,"41,271  x   ",16.70  ,"116,695  x   ",10.70  ,"343,470  x   ",8.90
36.,09/09/,FR,11 ,27 ,35 ,34 ,39 ,10,6,"35,645,800.00  ",0  x   ,unbesetzt,2  x   ,"757,473.20  ",4  x   ,"254,551.00  ",31  x   ,"5,749.30  ",495  x   ,324.00  ,"1,210  x   ",103.10  ,"1,274  x   ",83.90  ,"18,680  x   ",29.50  ,"26,366  x   ",20.20  ,"58,153  x   ",13.60  ,"99,523  x   ",13.60  ,"378,813  x   ",8.90
37.,16/09/,FR,28 ,30 ,15 ,37 ,43 ,5,2,"40,713,232.00  ",0  x   ,unbesetzt,5  x   ,"346,062.40  ",7  x   ,"87,242.60  ",51  x   ,"3,991.40  ",767  x   ,238.80  ,"1,277  x   ",111.50  ,"2,310  x   ",52.80  ,"33,034  x   ",19.10  ,"34,207  x   ",17.80  ,"57,404  x   ",15.20  ,"177,591  x   ",8.90  ,"487,546  x   ",7.90
38.,23/09/,FR,1 ,45 ,7 ,25 ,23 ,8,5,"46,956,002.00  ",0  x   ,unbesetzt,4  x   ,"498,907.50  ",12  x   ,"58,695.00  ",78  x   ,"3,010.00  ",979  x   ,215.80  ,"1,986  x   ",82.70  ,"2,793  x   ",50.40  ,"41,546  x   ",17.50  ,"43,576  x   ",16.10  ,"77,042  x   ",13.10  ,"215,428  x   ",8.50  ,"598,461  x   ",7.40
39.,30/09/,FR,39 ,4 ,44 ,29 ,28 ,10,8,"56,568,532.00  ",0  x   ,unbesetzt,1  x   ,"2,404,162.60  ",8  x   ,"106,065.90  ",45  x   ,"6,285.30  ",796  x   ,319.70  ,"1,618  x   ",122.30  ,"2,066  x   ",82.10  ,"30,993  x   ",28.20  ,"41,151  x   ",20.60  ,"79,181  x   ",15.30  ,"166,576  x   ",13.20  ,"625,320  x   ",8.60
40.,07/10/,FR,1 ,43 ,20 ,44 ,10 ,9,6,"73,721,270.00  ",0  x   ,unbesetzt,2  x   ,"4,079,856.90  ",10  x   ,"110,581.90  ",61  x   ,"6,042.70  ","1,112  x   ",298.30  ,"1,982  x   ",130.10  ,"2,965  x   ",74.50  ,"44,607  x   ",25.60  ,"50,915  x   ",21.70  ,"94,395  x   ",16.70  ,"249,942  x   ",11.50  ,"779,951  x   ",9.00
41.,14/10/,FR,42 ,10 ,25 ,7 ,39 ,3,6,"79,950,034.00  ",1  x   ,"90,000,000.00  ",8  x   ,"2,780,570.90  ",11  x   ,"109,022.70  ",122  x   ,"3,276.60  ","1,704  x   ",211.10  ,"2,981  x   ",93.80  ,"5,200  x   ",46.10  ,"71,230  x   ",17.30  ,"70,957  x   ",16.90  ,"120,478  x   ",14.20  ,"371,916  x   ",8.30  ,"1,006,022  x   ",7.50
42.,21/10/,FR,28 ,35 ,14 ,16 ,34 ,3,9,"31,196,774.00  ",1  x   ,"10,549,199.70  ",6  x   ,"220,977.10  ",8  x   ,"58,493.90  ",36  x   ,"4,332.80  ",645  x   ,217.60  ,"1,093  x   ",99.80  ,"1,975  x   ",47.30  ,"26,759  x   ",18.00  ,"28,961  x   ",16.10  ,"49,635  x   ",13.50  ,"140,755  x   ",8.60  ,"373,772  x   ",7.90
43.,28/10/,FR,12 ,4 ,6 ,13 ,1 ,1,6,"29,546,370.00  ",0  x   ,unbesetzt,12  x   ,"106,182.20  ",4  x   ,"106,182.20  ",96  x   ,"1,538.80  ",957  x   ,138.90  ,"1,480  x   ",69.80  ,"2,581  x   ",34.30  ,"24,757  x   ",18.40  ,"30,897  x   ",14.30  ,"51,122  x   ",12.40  ,"107,741  x   ",10.60  ,"384,484  x   ",7.30
44.,04/11/,FR,15 ,16 ,50 ,22 ,14 ,2,10,"30,536,060.00  ",0  x   ,unbesetzt,3  x   ,"432,594.10  ",4  x   ,"114,510.20  ",26  x   ,"5,872.30  ",401  x   ,342.60  ,815  x   ,131.10  ,"1,104  x   ",82.90  ,"17,216  x   ",27.40  ,"20,283  x   ",22.50  ,"39,241  x   ",16.70  ,"90,991  x   ",13.00  ,"322,492  x   ",9.00
45.,11/11/,FR,42 ,18 ,47 ,16 ,1 ,6,8,"31,343,822.00  ",0  x   ,unbesetzt,2  x   ,"666,056.20  ",2  x   ,"235,078.60  ",32  x   ,"4,897.40  ",370  x   ,381.20  ,681  x   ,161.00  ,"1,288  x   ",73.00  ,"20,571  x   ",23.60  ,"20,992  x   ",22.30  ,"35,712  x   ",18.80  ,"113,285  x   ",10.70  ,"344,316  x   ",8.60
46.,18/11/,FR,16 ,7 ,40 ,10 ,32 ,6,1,"32,997,454.00  ",0  x   ,unbesetzt,5  x   ,"280,478.30  ",3  x   ,"164,987.20  ",30  x   ,"5,499.50  ",520  x   ,285.50  ,"1,076  x   ",107.30  ,"1,643  x   ",60.20  ,"23,322  x   ",21.90  ,"25,514  x   ",19.30  ,"50,515  x   ",14.00  ,"119,935  x   ",10.70  ,"372,973  x   ",8.40
47.,25/11/,FR,19 ,45 ,49 ,34 ,28 ,1,6,"35,427,528.00  ",0  x   ,unbesetzt,4  x   ,"376,417.40  ",4  x   ,"132,853.20  ",36  x   ,"4,920.40  ",528  x   ,301.90  ,"1,041  x   ",119.10  ,"1,486  x   ",71.50  ,"23,472  x   ",23.30  ,"25,228  x   ",21.00  ,"51,234  x   ",14.80  ,"126,298  x   ",10.90  ,"379,289  x   ",8.90
48.,02/12/,FR,39 ,48 ,1 ,20 ,50 ,3,7,"40,143,296.00  ",0  x   ,unbesetzt,3  x   ,"568,696.60  ",2  x   ,"301,074.70  ",46  x   ,"4,363.40  ",587  x   ,307.70  ,981  x   ,143.20  ,"2,255  x   ",53.40  ,"36,747  x   ",18.80  ,"28,375  x   ",18.80  ,"46,931  x   ",18.30  ,"231,246  x   ",8.10  ,"430,797  x   ",8.10
49.,09/12/,FR,29 ,17 ,44 ,12 ,50 ,2,10,"42,914,022.00  ",0  x   ,unbesetzt,3  x   ,"607,948.60  ",5  x   ,"128,742.00  ",48  x   ,"4,470.20  ",764  x   ,252.70  ,"1,432  x   ",104.80  ,"1,847  x   ",69.70  ,"25,677  x   ",25.90  ,"33,792  x   ",19.00  ,"65,690  x   ",14.00  ,"132,455  x   ",12.60  ,"480,835  x   ",8.50
50.,16/12/,FR,2 ,34 ,25 ,24 ,3 ,6,8,"49,134,332.00  ",0  x   ,unbesetzt,3  x   ,"696,069.70  ",7  x   ,"105,287.80  ",45  x   ,"5,459.30  ",823  x   ,268.60  ,"1,552  x   ",110.80  ,"2,299  x   ",64.10  ,"35,241  x   ",21.60  ,"39,064  x   ",18.80  ,"72,685  x   ",14.50  ,"188,939  x   ",10.10  ,"619,252  x   ",7.50
51.,23/12/,FR,46 ,13 ,27 ,42 ,30 ,4,3,"62,337,680.00  ",0  x   ,unbesetzt,4  x   ,"662,337.80  ",6  x   ,"155,844.20  ",72  x   ,"4,329.00  ","1,390  x   ",201.80  ,"2,002  x   ",108.90  ,"3,109  x   ",60.10  ,"44,188  x   ",21.80  ,"58,727  x   ",15.90  ,"85,122  x   ",15.70  ,"237,236  x   ",10.20  ,"817,074  x   ",7.20
52.,30/12/,FR,27 ,30 ,50 ,47 ,45 ,9,1,"71,721,126.00  ",0  x   ,unbesetzt,5  x   ,"2,656,767.00  ",5  x   ,"215,163.30  ",66  x   ,"5,433.40  ","1,047  x   ",308.20  ,"1,938  x   ",129.50  ,"2,699  x   ",79.70  ,"41,219  x   ",26.90  ,"47,333  x   ",22.70  ,"89,106  x   ",17.30  ,"227,893  x   ",12.20  ,"725,005  x   ",9.40
