week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,08/01/,FR,47,1,2,24,5,8,3,"24,231,894.00  ",0  x   ,unbesetzt,2  x   ,"514,927.70  ",2  x   ,"181,739.20  ",27  x   ,"4,487.30  ",419  x   ,260.20  ,708  x   ,119.70  ,"1,611  x   ",45.10  ,"23,778  x   ",16.50  ,"20,842  x   ",16.50  ,"35,518  x   ",14.60  ,"130,001  x   ",7.50  ,"303,153  x   ",7.50
2.,15/01/,FR,23,25,4,39,37,9,1,"25,423,218.00  ",0  x   ,unbesetzt,1  x   ,"1,080,486.70  ",8  x   ,"47,668.50  ",23  x   ,"5,526.70  ",472  x   ,242.30  ,"1,098  x   ",81.00  ,"1,010  x   ",75.50  ,"14,479  x   ",27.20  ,"19,730  x   ",19.30  ,"42,561  x   ",12.90  ,"76,597  x   ",12.90  ,"275,643  x   ",8.80
3.,22/01/,FR,19,3,26,36,29,4,9,"26,684,134.00  ",1  x   ,"19,379,323.30  ",1  x   ,"1,134,075.70  ",1  x   ,"400,262.00  ",25  x   ,"5,336.80  ",452  x   ,265.60  ,863  x   ,108.20  ,"1,338  x   ",59.80  ,"19,075  x   ",21.60  ,"22,853  x   ",17.50  ,"41,616  x   ",13.70  ,"97,255  x   ",10.70  ,"326,478  x   ",7.80
4.,29/01/,FR,42,40,3,32,20,4,9,"24,470,844.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"122,354.20  ",20  x   ,"6,117.70  ",377  x   ,292.00  ,638  x   ,134.20  ,911  x   ,80.50  ,"14,934  x   ",25.30  ,"15,997  x   ",22.90  ,"29,393  x   ",17.80  ,"85,240  x   ",11.10  ,"246,895  x   ",9.40
5.,05/02/,FR,37,25,35,43,10,5,8,"25,209,798.00  ",0  x   ,unbesetzt,1  x   ,"2,111,427.20  ",1  x   ,"378,146.90  ",24  x   ,"5,252.00  ",474  x   ,239.30  ,710  x   ,124.20  ,"1,650  x   ",45.80  ,"24,409  x   ",16.90  ,"20,843  x   ",16.90  ,"33,769  x   ",16.00  ,"122,582  x   ",8.00  ,"310,198  x   ",7.70
6.,12/02/,FR,33,21,7,41,20,2,1,"26,185,408.00  ",0  x   ,unbesetzt,2  x   ,"556,439.90  ",8  x   ,"49,097.60  ",28  x   ,"4,675.90  ",564  x   ,208.90  ,983  x   ,93.20  ,"1,075  x   ",73.00  ,"16,090  x   ",25.20  ,"22,896  x   ",17.10  ,"40,360  x   ",13.90  ,"83,823  x   ",12.10  ,"315,189  x   ",7.90
7.,19/02/,FR,49,12,29,10,28,4,3,"27,993,708.00  ",0  x   ,unbesetzt,1  x   ,"1,189,732.50  ",2  x   ,"209,952.80  ",42  x   ,"3,332.50  ",614  x   ,205.10  ,914  x   ,107.10  ,"1,529  x   ",54.90  ,"21,597  x   ",20.00  ,"27,603  x   ",15.20  ,"40,538  x   ",14.80  ,"109,864  x   ",9.90  ,"391,897  x   ",6.80
8.,26/02/,FR,19,45,11,42,9,7,10,"31,787,514.00  ",0  x   ,unbesetzt,5  x   ,"270,193.80  ",10  x   ,"47,681.20  ",32  x   ,"4,966.70  ",549  x   ,260.50  ,"1,115  x   ",99.70  ,"1,217  x   ",78.30  ,"17,520  x   ",28.10  ,"26,329  x   ",18.10  ,"50,889  x   ",13.40  ,"92,525  x   ",13.30  ,"371,275  x   ",8.10
9.,04/03/,FR,13,2,10,5,28,10,3,"37,298,048.00  ",0  x   ,unbesetzt,8  x   ,"198,145.80  ",12  x   ,"46,622.50  ",47  x   ,"3,967.80  ","1,110  x   ",151.20  ,"1,987  x   ",65.60  ,"1,814  x   ",61.60  ,"23,608  x   ",24.40  ,"38,695  x   ",14.40  ,"71,466  x   ",12.10  ,"113,663  x   ",12.10  ,"487,156  x   ",7.30
10.,11/03/,FR,10,31,16,40,37,9,3,"43,852,168.00  ",0  x   ,unbesetzt,2  x   ,"931,858.50  ",3  x   ,"219,260.80  ",36  x   ,"6,090.50  ",681  x   ,289.70  ,"1,179  x   ",130.10  ,"2,216  x   ",59.30  ,"34,394  x   ",20.20  ,"31,594  x   ",20.20  ,"55,072  x   ",17.10  ,"195,165  x   ",8.70  ,"482,692  x   ",8.60
11.,18/03/,FR,20,10,50,35,47,7,4,"51,293,110.00  ",0  x   ,unbesetzt,3  x   ,"726,652.30  ",4  x   ,"192,349.10  ",66  x   ,"3,885.80  ",771  x   ,299.30  ,"1,359  x   ",132.10  ,"2,833  x   ",54.30  ,"44,917  x   ",18.90  ,"37,514  x   ",18.90  ,"66,523  x   ",16.50  ,"262,079  x   ",8.40  ,"552,347  x   ",8.40
12.,25/03/,FR,35 ,9 ,19 ,20 ,10 ,4,3,"59,539,114.00  ",1  x   ,"76,766,891.40  ",6  x   ,"421,735.30  ",9  x   ,"99,231.80  ",89  x   ,"3,344.80  ","1,427  x   ",187.70  ,"2,099  x   ",99.20  ,"3,523  x   ",50.70  ,"45,268  x   ",20.30  ,"61,181  x   ",14.80  ,"85,173  x   ",14.80  ,"228,859  x   ",10.10  ,"810,355  x   ",7.00
13.,01/04/,FR,40 ,49 ,6 ,21 ,12 ,10,8,"27,007,562.00  ",0  x   ,unbesetzt,1  x   ,"1,147,821.30  ",2  x   ,"202,556.70  ",17  x   ,"7,943.40  ",413  x   ,294.20  ,850  x   ,111.20  ,837  x   ,96.80  ,"12,865  x   ",32.50  ,"18,461  x   ",21.90  ,"36,863  x   ",15.70  ,"69,149  x   ",15.20  ,"280,055  x   ",9.20
14.,08/04/,FR,16 ,1 ,2 ,31 ,50 ,7,1,"27,241,802.00  ",0  x   ,unbesetzt,2  x   ,"578,888.20  ",2  x   ,"204,313.50  ",25  x   ,"5,448.30  ",456  x   ,268.80  ,675  x   ,141.20  ,"1,338  x   ",61.00  ,"19,211  x   ",21.90  ,"21,145  x   ",19.30  ,"33,441  x   ",17.50  ,"103,988  x   ",10.20  ,"303,055  x   ",8.50
15.,15/04/,FR,39 ,46 ,1 ,17 ,5 ,6,7,"28,985,218.00  ",0  x   ,unbesetzt,2  x   ,"615,935.80  ",3  x   ,"144,926.00  ",24  x   ,"6,038.50  ",558  x   ,233.70  ,875  x   ,115.90  ,"1,294  x   ",67.10  ,"18,926  x   ",23.70  ,"24,509  x   ",17.70  ,"39,534  x   ",15.70  ,"98,401  x   ",11.40  ,"362,393  x   ",7.60
