week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
36.,07/09/,FR,28 ,36 ,4 ,43 ,7 ,1,6,"36,917,070.00  ",0  x   ,unbesetzt,3  x   ,"522,991.80  ",10  x   ,"55,375.60  ",42  x   ,"4,394.80  ",745  x   ,222.90  ,"1,545  x   ",83.60  ,"1,809  x   ",61.20  ,"25,008  x   ",22.80  ,"30,269  x   ",18.20  ,"62,653  x   ",12.60  ,"133,214  x   ",10.80  ,"424,482  x   ",8.30
37.,14/09/,FR,49 ,33 ,35 ,24 ,46 ,9,5,"38,452,000.00  ",0  x   ,unbesetzt,1  x   ,"1,634,210.00  ",6  x   ,"96,130.00  ",32  x   ,"6,008.10  ",722  x   ,239.60  ,"1,265  x   ",106.30  ,"1,972  x   ",58.40  ,"26,757  x   ",22.20  ,"31,016  x   ",18.50  ,"54,728  x   ",15.10  ,"146,612  x   ",10.20  ,"439,972  x   ",8.30
38.,21/09/,FR,8 ,16 ,42 ,46 ,5 ,2,10,"40,971,820.00  ",0  x   ,unbesetzt,3  x   ,"580,434.10  ",5  x   ,"122,915.40  ",33  x   ,"6,207.80  ",606  x   ,304.20  ,"1,160  x   ",123.60  ,"1,674  x   ",73.40  ,"24,356  x   ",26.00  ,"29,093  x   ",21.10  ,"58,651  x   ",15.00  ,"129,638  x   ",12.30  ,"443,541  x   ",8.80
39.,28/09/,FR,40 ,3 ,18 ,8 ,13 ,6,10,"42,780,488.00  ",0  x   ,unbesetzt,4  x   ,"454,542.60  ",6  x   ,"106,951.20  ",41  x   ,"5,217.10  ",858  x   ,224.30  ,"2,115  x   ",72.30  ,"1,729  x   ",72.30  ,"23,764  x   ",27.90  ,"32,992  x   ",19.40  ,"73,835  x   ",13.00  ,"124,212  x   ",13.00  ,"483,396  x   ",8.40
40.,05/10/,FR,32 ,12 ,44 ,49 ,15 ,5,7,"46,429,416.00  ",0  x   ,unbesetzt,4  x   ,"493,312.50  ",8  x   ,"87,055.10  ",88  x   ,"2,638.00  ",893  x   ,233.90  ,"1,493  x   ",108.80  ,"2,838  x   ",49.00  ,"40,871  x   ",17.60  ,"40,660  x   ",17.10  ,"64,815  x   ",15.40  ,"216,385  x   ",8.30  ,"570,657  x   ",7.70
41.,12/10/,FR,26 ,50 ,42 ,31 ,6 ,2,9,"52,385,110.00  ",0  x   ,unbesetzt,1  x   ,"2,226,367.10  ",6  x   ,"130,962.70  ",52  x   ,"5,037.00  ",742  x   ,317.60  ,"1,332  x   ",137.60  ,"2,251  x   ",69.80  ,"37,028  x   ",22.20  ,"34,888  x   ",22.20  ,"63,032  x   ",17.80  ,"210,576  x   ",9.70  ,"541,693  x   ",9.20
42.,19/10/,FR,9 ,48 ,32 ,12 ,28 ,7,8,"60,878,800.00  ",0  x   ,unbesetzt,15  x   ,"172,489.90  ",19  x   ,"48,062.20  ",54  x   ,"5,636.90  ","1,555  x   ",176.10  ,"2,222  x   ",95.80  ,"2,957  x   ",61.70  ,"41,880  x   ",22.50  ,"63,467  x   ",14.30  ,"91,322  x   ",14.30  ,"216,577  x   ",10.90  ,"845,533  x   ",6.80
43.,26/10/,FR,44 ,18 ,19 ,33 ,38 ,4,10,"72,732,866.00  ",0  x   ,unbesetzt,5  x   ,"1,234,568.50  ",9  x   ,"121,221.40  ",57  x   ,"6,380.00  ","1,306  x   ",250.60  ,"2,538  x   ",100.30  ,"3,159  x   ",69.00  ,"46,058  x   ",24.40  ,"62,243  x   ",17.50  ,"127,997  x   ",12.20  ,"234,078  x   ",12.10  ,"863,017  x   ",8.00
44.,02/11/,FR,5 ,42 ,33 ,17 ,27 ,9,10,"77,675,666.00  ",0  x   ,unbesetzt,7  x   ,"3,100,089.50  ",15  x   ,"77,675.60  ",63  x   ,"6,164.70  ","1,588  x   ",220.10  ,"3,438  x   ",79.00  ,"3,116  x   ",74.70  ,"44,363  x   ",27.10  ,"65,209  x   ",17.80  ,"139,928  x   ",12.50  ,"235,787  x   ",12.50  ,"891,051  x   ",8.30
45.,09/11/,FR,8 ,46 ,32 ,34 ,49 ,3,5,"80,425,826.00  ",0  x   ,unbesetzt,3  x   ,"7,529,076.40  ",10  x   ,"120,638.70  ",121  x   ,"3,323.30  ","1,475  x   ",245.30  ,"2,295  x   ",122.60  ,"4,383  x   ",55.00  ,"64,070  x   ",19.40  ,"65,527  x   ",18.40  ,"105,230  x   ",16.40  ,"356,979  x   ",8.70  ,"959,892  x   ",8.00
46.,16/11/,FR,45 ,13 ,15 ,18 ,39 ,5,6,"81,911,184.00  ",5  x   ,"18,000,000.00  ",6  x   ,"3,848,561.50  ",10  x   ,"122,866.70  ",83  x   ,"4,934.40  ","1,515  x   ",243.30  ,"2,423  x   ",118.30  ,"3,971  x   ",61.80  ,"59,734  x   ",21.20  ,"68,336  x   ",17.90  ,"114,718  x   ",15.30  ,"311,906  x   ",10.20  ,"1,003,858  x   ",7.70
47.,23/11/,FR,46 ,28 ,22 ,31 ,17 ,5,10,"41,136,930.00  ",0  x   ,unbesetzt,6  x   ,"291,386.50  ",5  x   ,"123,410.70  ",36  x   ,"5,713.40  ",675  x   ,274.20  ,"1,277  x   ",112.70  ,"1,608  x   ",76.70  ,"24,432  x   ",26.00  ,"29,560  x   ",20.80  ,"59,410  x   ",14.80  ,"131,861  x   ",12.10  ,"438,716  x   ",8.90
48.,30/11/,FR,18 ,22 ,35 ,41 ,36 ,3,4,"42,395,584.00  ",0  x   ,unbesetzt,3  x   ,"609,436.50  ",1  x   ,"609,436.50  ",45  x   ,"4,710.60  ",749  x   ,254.70  ,"1,218  x   ",121.80  ,"1,912  x   ",66.50  ,"28,461  x   ",23.00  ,"36,370  x   ",17.40  ,"54,385  x   ",16.70  ,"153,245  x   ",10.70  ,"525,796  x   ",7.70
49.,07/12/,FR,16 ,42 ,31 ,4 ,21 ,6,4,"44,773,108.00  ",1  x   ,"33,208,146.80  ",2  x   ,"951,428.50  ",8  x   ,"83,949.50  ",53  x   ,"4,223.80  ",785  x   ,256.60  ,"1,427  x   ",109.80  ,"2,397  x   ",56.00  ,"35,345  x   ",19.60  ,"34,070  x   ",19.60  ,"58,182  x   ",16.50  ,"189,063  x   ",9.20  ,"504,884  x   ",8.40
50.,14/12/,FR,30 ,24 ,26 ,4 ,14 ,10,9,"38,672,990.00  ",1  x   ,"10,000,000.00  ",3  x   ,"547,867.30  ",11  x   ,"52,735.80  ",36  x   ,"5,371.20  ",595  x   ,292.40  ,"1,478  x   ",91.50  ,"1,556  x   ",74.50  ,"20,580  x   ",29.10  ,"28,647  x   ",20.20  ,"65,254  x   ",13.20  ,"110,665  x   ",13.20  ,"399,159  x   ",9.20
51.,21/12/,FR,20 ,34 ,49 ,16 ,3 ,10,2,"40,163,398.00  ",0  x   ,unbesetzt,4  x   ,"426,736.10  ",7  x   ,"86,064.40  ",28  x   ,"7,172.00  ",713  x   ,253.40  ,"1,311  x   ",107.20  ,"1,614  x   ",74.60  ,"23,115  x   ",26.90  ,"28,963  x   ",20.80  ,"57,685  x   ",14.90  ,"123,673  x   ",12.60  ,"420,852  x   ",9.10
52.,28/12/,FR,38 ,31 ,24 ,40 ,19 ,10,7,"41,647,852.00  ",2  x   ,"9,606,434.20  ",3  x   ,"590,011.20  ",4  x   ,"156,179.40  ",48  x   ,"4,338.30  ",676  x   ,277.20  ,"1,297  x   ",112.30  ,"1,597  x   ",78.20  ,"23,251  x   ",27.70  ,"30,932  x   ",20.10  ,"57,266  x   ",15.60  ,"122,952  x   ",13.20  ,"463,100  x   ",8.50
