week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,05/01/,FR,40 ,2 ,38 ,45 ,7 ,10,7,"42,621,542.00  ",0  x   ,unbesetzt,4  x   ,"452,853.80  ",8  x   ,"79,915.30  ",32  x   ,"6,659.60  ",662  x   ,289.70  ,"1,186  x   ",125.70  ,"1,578  x   ",81.00  ,"23,850  x   ",27.60  ,"30,358  x   ",21.00  ,"54,020  x   ",16.90  ,"128,698  x   ",12.90  ,"472,493  x   ",8.60
2.,12/01/,FR,25 ,17 ,16 ,40 ,44 ,9,2,"49,010,994.00  ",0  x   ,unbesetzt,1  x   ,"2,082,967.20  ",7  x   ,"105,023.50  ",44  x   ,"5,569.40  ",838  x   ,263.10  ,"1,811  x   ",94.70  ,"2,410  x   ",61.00  ,"38,213  x   ",19.90  ,"36,706  x   ",19.90  ,"70,808  x   ",14.80  ,"205,938  x   ",9.20  ,"557,705  x   ",8.30
3.,19/01/,FR,47 ,45 ,3 ,9 ,17 ,4,9,"56,102,658.00  ",0  x   ,unbesetzt,5  x   ,"476,872.50  ",3  x   ,"280,513.20  ",74  x   ,"3,790.70  ","1,090  x   ",231.60  ,"1,919  x   ",102.30  ,"3,113  x   ",54.00  ,"43,059  x   ",20.10  ,"48,899  x   ",17.20  ,"86,782  x   ",13.80  ,"219,136  x   ",9.90  ,"687,775  x   ",7.70
4.,26/01/,FR,23 ,29 ,10 ,26 ,35 ,5,3,"71,304,514.00  ",0  x   ,unbesetzt,2  x   ,"1,515,220.90  ",6  x   ,"178,261.20  ",124  x   ,"2,875.10  ","1,522  x   ",210.80  ,"2,261  x   ",110.30  ,"4,706  x   ",45.40  ,"66,728  x   ",16.50  ,"66,577  x   ",16.00  ,"100,814  x   ",15.20  ,"338,459  x   ",8.20  ,"931,749  x   ",7.30
5.,02/02/,FR,15 ,29 ,41 ,24 ,33 ,7,8,"94,676,370.00  ",0  x   ,unbesetzt,7  x   ,"2,921,419.30  ",6  x   ,"236,690.90  ",102  x   ,"4,640.90  ","1,799  x   ",236.80  ,"2,917  x   ",113.50  ,"4,165  x   ",68.10  ,"62,245  x   ",23.50  ,"82,832  x   ",17.10  ,"129,148  x   ",15.70  ,"330,727  x   ",11.10  ,"1,186,544  x   ",7.60
6.,09/02/,FR,46 ,8 ,24 ,34 ,7 ,8,4,"100,772,336.00  ",1  x   ,"90,000,000.00  ",8  x   ,"3,520,586.10  ",9  x   ,"167,953.80  ",150  x   ,"3,359.00  ","1,678  x   ",270.20  ,"2,747  x   ",128.30  ,"6,234  x   ",48.40  ,"98,760  x   ",16.70  ,"85,007  x   ",16.70  ,"138,572  x   ",15.60  ,"496,340  x   ",7.90  ,"1,272,441  x   ",7.50
7.,16/02/,FR,4 ,19 ,25 ,8 ,44 ,10,9,"37,994,014.00  ",0  x   ,unbesetzt,1  x   ,"1,614,745.60  ",7  x   ,"81,415.70  ",42  x   ,"4,523.00  ",791  x   ,216.10  ,"1,807  x   ",76.00  ,"1,440  x   ",76.00  ,"19,578  x   ",30.00  ,"31,177  x   ",18.20  ,"73,274  x   ",12.90  ,"104,249  x   ",12.90  ,"417,353  x   ",8.60
8.,23/02/,FR,26 ,46 ,18 ,42 ,33 ,10,4,"38,568,958.00  ",0  x   ,unbesetzt,3  x   ,"546,393.50  ",4  x   ,"144,633.50  ",32  x   ,"6,026.30  ",812  x   ,213.70  ,"1,579  x   ",85.40  ,"1,478  x   ",78.20  ,"21,106  x   ",28.30  ,"29,958  x   ",19.30  ,"59,733  x   ",13.80  ,"111,170  x   ",13.50  ,"410,517  x   ",8.90
9.,02/03/,FR,27 ,16 ,20 ,46 ,18 ,3,5,"41,480,060.00  ",0  x   ,unbesetzt,4  x   ,"440,725.60  ",4  x   ,"155,550.20  ",61  x   ,"3,400.00  ",707  x   ,264.00  ,"1,113  x   ",130.40  ,"2,712  x   ",45.80  ,"36,448  x   ",17.60  ,"35,950  x   ",17.30  ,"57,170  x   ",15.50  ,"194,201  x   ",8.30  ,"526,600  x   ",7.50
10.,09/03/,FR,23 ,28 ,15 ,33 ,36 ,7,4,"44,874,446.00  ",1  x   ,"42,670,719.30  ",6  x   ,"317,860.60  ",6  x   ,"112,186.10  ",150  x   ,"1,495.80  ","1,311  x   ",154.00  ,"1,898  x   ",82.70  ,"4,101  x   ",32.80  ,"51,537  x   ",14.30  ,"44,044  x   ",14.30  ,"69,914  x   ",13.70  ,"252,600  x   ",7.20  ,"580,152  x   ",7.20
11.,16/03/,FR,37 ,27 ,48 ,49 ,4 ,3,4,"34,275,444.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"514,131.60  ",29  x   ,"5,909.50  ",524  x   ,294.30  ,910  x   ,131.80  ,"1,562  x   ",65.80  ,"22,988  x   ",23.10  ,"28,338  x   ",18.10  ,"44,275  x   ",16.60  ,"125,062  x   ",10.60  ,"436,602  x   ",7.40
12.,23/03/,FR,4 ,14 ,42 ,22 ,33 ,1,10,"35,760,900.00  ",1  x   ,"17,461,478.80  ",7  x   ,"425,220.60  ",8  x   ,"67,051.60  ",55  x   ,"3,250.90  ",695  x   ,231.50  ,"1,860  x   ",67.50  ,"1,581  x   ",67.50  ,"21,688  x   ",25.50  ,"25,671  x   ",20.80  ,"63,409  x   ",12.30  ,"112,488  x   ",12.30  ,"357,287  x   ",9.50
13.,30/03/,FR,15 ,5 ,29 ,32 ,17 ,7,5,"32,296,392.00  ",0  x   ,unbesetzt,4  x   ,"343,149.10  ",4  x   ,"121,111.40  ",64  x   ,"2,523.10  ",816  x   ,178.10  ,"1,239  x   ",91.20  ,"2,673  x   ",36.20  ,"34,670  x   ",14.40  ,"33,582  x   ",14.40  ,"49,652  x   ",13.90  ,"161,496  x   ",7.70  ,"450,096  x   ",6.80
14.,06/04/,FR,16 ,8 ,23 ,50 ,6 ,4,8,"33,088,596.00  ",0  x   ,unbesetzt,1  x   ,"1,406,265.30  ",2  x   ,"248,164.40  ",34  x   ,"4,865.90  ",700  x   ,212.70  ,"1,051  x   ",110.10  ,"2,514  x   ",39.40  ,"33,557  x   ",15.80  ,"30,261  x   ",15.80  ,"48,290  x   ",14.70  ,"171,334  x   ",7.50  ,"417,622  x   ",7.50
15.,13/04/,FR,25 ,10 ,3 ,34 ,21 ,7,10,"37,833,540.00  ",0  x   ,unbesetzt,5  x   ,"321,585.00  ",3  x   ,"189,167.70  ",36  x   ,"5,254.60  ",734  x   ,231.90  ,"1,338  x   ",98.90  ,"1,562  x   ",72.60  ,"22,144  x   ",26.40  ,"31,956  x   ",17.70  ,"59,936  x   ",13.50  ,"112,236  x   ",13.10  ,"451,540  x   ",8.00
16.,20/04/,FR,46 ,22 ,25 ,28 ,24 ,4,2,"37,177,284.00  ",0  x   ,unbesetzt,3  x   ,"526,678.10  ",7  x   ,"79,665.60  ",48  x   ,"3,872.60  ",729  x   ,229.40  ,"1,168  x   ",111.40  ,"1,967  x   ",56.70  ,"28,582  x   ",20.10  ,"31,401  x   ",17.70  ,"50,184  x   ",15.90  ,"150,904  x   ",9.60  ,"462,026  x   ",7.60
17.,27/04/,FR,33 ,21 ,9 ,32 ,31 ,9,10,"41,463,010.00  ",0  x   ,unbesetzt,4  x   ,"440,544.40  ",6  x   ,"103,657.50  ",42  x   ,"4,936.00  ",545  x   ,342.30  ,"1,280  x   ",113.30  ,"1,501  x   ",82.80  ,"21,369  x   ",30.00  ,"27,546  x   ",22.50  ,"58,772  x   ",15.10  ,"114,910  x   ",14.00  ,"421,801  x   ",9.30
18.,04/05/,FR,26 ,49 ,24 ,29 ,36 ,3,6,"46,149,578.00  ",0  x   ,unbesetzt,5  x   ,"392,271.40  ",5  x   ,"138,448.70  ",54  x   ,"4,273.10  ",810  x   ,256.30  ,"1,280  x   ",126.10  ,"2,911  x   ",47.50  ,"43,438  x   ",17.50  ,"36,852  x   ",17.50  ,"60,495  x   ",16.40  ,"231,220  x   ",7.90  ,"548,251  x   ",7.90
19.,11/05/,FR,37 ,17 ,39 ,14 ,3 ,10,5,"49,563,350.00  ",0  x   ,unbesetzt,3  x   ,"702,147.40  ",14  x   ,"53,103.50  ",57  x   ,"4,347.60  ","1,060  x   ",210.40  ,"2,235  x   ",77.60  ,"2,326  x   ",63.90  ,"31,008  x   ",24.70  ,"42,287  x   ",17.50  ,"88,705  x   ",12.00  ,"161,111  x   ",11.90  ,"576,865  x   ",8.20
20.,18/05/,FR,23 ,1 ,11 ,41 ,44 ,2,8,"59,512,634.00  ",0  x   ,unbesetzt,4  x   ,"632,321.70  ",7  x   ,"127,527.00  ",60  x   ,"4,959.30  ","1,091  x   ",245.40  ,"1,831  x   ",113.70  ,"3,715  x   ",48.00  ,"53,615  x   ",17.50  ,"49,864  x   ",17.50  ,"83,385  x   ",15.30  ,"282,921  x   ",8.20  ,"705,949  x   ",8.00
21.,25/05/,FR,15 ,46 ,40 ,31 ,35 ,8,3,"71,551,564.00  ",0  x   ,unbesetzt,4  x   ,"2,327,357.80  ",11  x   ,"97,570.30  ",83  x   ,"4,310.30  ","1,071  x   ",300.60  ,"1,834  x   ",136.50  ,"3,654  x   ",58.70  ,"58,490  x   ",19.80  ,"51,579  x   ",19.80  ,"86,930  x   ",17.60  ,"335,422  x   ",8.60  ,"782,101  x   ",8.60
22.,01/06/,FR,14 ,21 ,19 ,30 ,32 ,7,4,"79,275,546.00  ",0  x   ,unbesetzt,3  x   ,"7,318,844.80  ",13  x   ,"91,471.70  ",119  x   ,"3,330.90  ","1,388  x   ",257.00  ,"2,416  x   ",114.80  ,"5,644  x   ",42.10  ,"85,289  x   ",15.90  ,"66,097  x   ",15.90  ,"107,953  x   ",15.70  ,"444,634  x   ",7.50  ,"971,800  x   ",7.50
23.,08/06/,FR,39 ,5 ,22 ,13 ,36 ,10,9,"83,365,398.00  ",0  x   ,unbesetzt,5  x   ,"4,673,083.20  ",13  x   ,"96,190.80  ",89  x   ,"4,683.40  ","1,764  x   ",212.60  ,"3,703  x   ",78.70  ,"3,349  x   ",74.60  ,"47,103  x   ",27.40  ,"68,760  x   ",18.10  ,"146,021  x   ",12.60  ,"252,881  x   ",12.60  ,"941,723  x   ",8.40
24.,15/06/,FR,21 ,9 ,5 ,7 ,1 ,3,10,"84,536,378.00  ",0  x   ,unbesetzt,28  x   ,"853,136.90  ",41  x   ,"30,927.90  ",140  x   ,"3,019.10  ","3,383  x   ",112.40  ,"6,656  x   ",49.50  ,"4,438  x   ",49.50  ,"54,351  x   ",24.10  ,"87,027  x   ",14.50  ,"168,026  x   ",11.50  ,"273,714  x   ",11.50  ,"1,055,581  x   ",7.60
25.,22/06/,FR,16 ,35 ,33 ,24 ,43 ,6,7,"84,237,880.00  ",0  x   ,unbesetzt,11  x   ,"2,173,407.10  ",20  x   ,"63,178.40  ",93  x   ,"4,528.90  ","1,917  x   ",197.70  ,"2,817  x   ",104.60  ,"4,160  x   ",60.70  ,"55,962  x   ",23.30  ,"77,501  x   ",16.30  ,"121,233  x   ",14.90  ,"291,643  x   ",11.20  ,"1,083,078  x   ",7.40
26.,29/06/,FR,47 ,18 ,30 ,9 ,48 ,4,6,"84,290,836.00  ",0  x   ,unbesetzt,4  x   ,"5,966,268.70  ",8  x   ,"158,045.30  ",82  x   ,"5,139.60  ","1,339  x   ",283.20  ,"2,346  x   ",125.70  ,"4,152  x   ",60.90  ,"63,113  x   ",20.70  ,"61,831  x   ",20.40  ,"108,032  x   ",16.70  ,"349,323  x   ",9.40  ,"945,584  x   ",8.50
27.,06/07/,FR,38 ,7 ,45 ,24 ,2 ,5,8,"85,002,404.00  ",2  x   ,"45,000,000.00  ",24  x   ,"999,914.60  ",29  x   ,"43,966.70  ",191  x   ,"2,225.10  ","2,239  x   ",170.80  ,"4,264  x   ",69.70  ,"6,554  x   ",38.90  ,"79,772  x   ",16.50  ,"84,568  x   ",15.00  ,"137,427  x   ",13.20  ,"414,050  x   ",8.00  ,"1,078,148  x   ",7.50
28.,13/07/,FR,13 ,46 ,34 ,14 ,21 ,5,2,"42,195,090.00  ",0  x   ,unbesetzt,2  x   ,"896,645.60  ",3  x   ,"210,975.40  ",51  x   ,"4,136.70  ",839  x   ,226.30  ,"1,400  x   ",105.40  ,"2,528  x   ",50.00  ,"35,264  x   ",18.50  ,"37,217  x   ",17.00  ,"62,888  x   ",14.40  ,"182,796  x   ",9.00  ,"523,897  x   ",7.60
29.,20/07/,FR,43 ,33 ,42 ,40 ,13 ,9,7,"41,119,650.00  ",1  x   ,"22,736,889.80  ",3  x   ,"582,528.30  ",2  x   ,"308,397.30  ",28  x   ,"7,342.70  ",672  x   ,275.30  ,"1,099  x   ",130.90  ,"1,972  x   ",62.50  ,"27,242  x   ",23.30  ,"35,361  x   ",17.40  ,"58,022  x   ",15.20  ,"144,974  x   ",11.00  ,"495,097  x   ",7.90
30.,27/07/,FR,40 ,50 ,43 ,2 ,22 ,8,3,"36,610,080.00  ",0  x   ,unbesetzt,1  x   ,"1,555,928.40  ",6  x   ,"91,525.20  ",36  x   ,"5,084.70  ",523  x   ,315.00  ,822  x   ,155.80  ,"1,793  x   ",61.20  ,"29,839  x   ",20.20  ,"25,294  x   ",20.20  ,"42,025  x   ",18.70  ,"181,840  x   ",8.50  ,"393,133  x   ",8.50
31.,03/08/,FR,25 ,31 ,12 ,4 ,8 ,8,7,"39,108,996.00  ",0  x   ,unbesetzt,5  x   ,"332,426.40  ",14  x   ,"41,902.40  ",74  x   ,"2,642.40  ","1,434  x   ",122.70  ,"2,098  x   ",65.20  ,"2,192  x   ",53.50  ,"28,299  x   ",21.40  ,"45,967  x   ",12.70  ,"71,422  x   ",11.70  ,"139,206  x   ",10.90  ,"559,530  x   ",6.60
32.,10/08/,FR,4 ,17 ,21 ,15 ,23 ,6,7,"40,853,196.00  ",0  x   ,unbesetzt,3  x   ,"578,753.60  ",9  x   ,"68,088.60  ",48  x   ,"4,255.50  ",952  x   ,193.10  ,"1,507  x   ",94.80  ,"2,025  x   ",60.50  ,"28,066  x   ",22.50  ,"41,635  x   ",14.70  ,"65,820  x   ",13.30  ,"142,116  x   ",11.20  ,"565,204  x   ",6.90
33.,17/08/,FR,12 ,2 ,43 ,44 ,32 ,3,4,"43,488,062.00  ",0  x   ,unbesetzt,5  x   ,"369,648.50  ",5  x   ,"130,464.10  ",45  x   ,"4,832.00  ",878  x   ,222.80  ,"1,361  x   ",111.80  ,"2,246  x   ",58.00  ,"30,329  x   ",22.20  ,"39,737  x   ",16.40  ,"59,752  x   ",15.60  ,"160,574  x   ",10.50  ,"557,957  x   ",7.40
34.,24/08/,FR,26 ,25 ,8 ,48 ,38 ,6,9,"47,186,994.00  ",0  x   ,unbesetzt,2  x   ,"1,002,723.60  ",7  x   ,"101,114.90  ",43  x   ,"5,486.80  ",833  x   ,254.90  ,"1,644  x   ",100.40  ,"2,316  x   ",61.10  ,"32,153  x   ",22.70  ,"39,462  x   ",17.90  ,"73,697  x   ",13.70  ,"165,737  x   ",11.10  ,"545,474  x   ",8.20
35.,31/08/,FR,24 ,6 ,9 ,18 ,3 ,7,2,"52,302,452.00  ",2  x   ,"30,920,808.30  ",23  x   ,"96,645.80  ",32  x   ,"24,516.70  ",172  x   ,"1,520.40  ","2,068  x   ",113.80  ,"3,855  x   ",47.40  ,"4,858  x   ",32.20  ,"55,961  x   ",14.40  ,"63,099  x   ",12.40  ,"105,519  x   ",10.60  ,"258,765  x   ",7.80  ,"740,989  x   ",6.70
