week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
15.,11/04/,FR,1 ,44 ,14 ,7 ,22 ,1,2,"19,200,714.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,5  x   ,"24,960.90  ",37  x   ,"3,113.60  ",607  x   ,150.20  ,718  x   ,80.20  ,"1,432  x   ",56.90  ,"24,002  x   ",16.50  ,"19,677  x   ",16.50  ,"28,192  x   ",12.20  ,"97,543  x   ",11.80  ,"301,376  x   ",7.30
16.,18/04/,FR,44 ,40 ,32 ,49 ,12 ,2,3,"17,472,766.00  ",0  x   ,unbesetzt,1  x   ,"916,837.00  ",6  x   ,"18,928.80  ",20  x   ,"5,241.80  ",334  x   ,248.40  ,392  x   ,133.70  ,"1,115  x   ",66.60  ,"17,283  x   ",20.70  ,"16,441  x   ",18.30  ,"18,981  x   ",16.50  ,"91,228  x   ",11.40  ,"251,810  x   ",7.90
17.,25/04/,FR,10 ,39 ,4 ,48 ,7 ,3,4,"17,508,374.00  ",0  x   ,unbesetzt,1  x   ,"437,709.30  ",3  x   ,"37,934.80  ",20  x   ,"5,252.50  ",380  x   ,218.80  ,390  x   ,134.60  ,"1,299  x   ",57.20  ,"18,937  x   ",18.90  ,"20,018  x   ",15.00  ,"20,875  x   ",15.00  ,"104,489  x   ",10.00  ,"278,256  x   ",7.20
18.,02/05/,FR,34 ,33 ,31 ,32 ,9 ,8,6,"18,990,754.00  ",0  x   ,unbesetzt,3  x   ,"158,256.20  ",1  x   ,"123,439.90  ",30  x   ,"3,798.10  ",519  x   ,173.80  ,628  x   ,90.70  ,"1,173  x   ",68.80  ,"15,357  x   ",25.30  ,"17,803  x   ",18.40  ,"20,433  x   ",16.70  ,"101,389  x   ",11.20  ,"247,190  x   ",8.80
19.,09/05/,FR,43 ,14 ,1 ,22 ,11 ,4,3,"20,601,196.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"133,907.70  ",36  x   ,"3,433.50  ",468  x   ,209.00  ,552  x   ,111.90  ,"1,657  x   ",52.80  ,"21,568  x   ",19.50  ,"23,067  x   ",15.40  ,"26,211  x   ",14.10  ,"120,627  x   ",10.20  ,"307,750  x   ",7.60
20.,16/05/,FR,36 ,43 ,28 ,42 ,9 ,8,2,"21,969,968.00  ",1  x   ,"28,207,473.90  ",0  x   ,unbesetzt,2  x   ,"71,402.30  ",34  x   ,"3,877.00  ",484  x   ,215.60  ,556  x   ,118.50  ,"1,873  x   ",49.80  ,"20,360  x   ",22.10  ,"27,494  x   ",14.30  ,"26,363  x   ",14.30  ,"144,818  x   ",9.10  ,"296,175  x   ",8.50
21.,23/05/,FR,6 ,21 ,33 ,47 ,37 ,7,8,"16,623,636.00  ",0  x   ,unbesetzt,3  x   ,"493,290.00  ",4  x   ,"27,013.40  ",18  x   ,"5,541.20  ",385  x   ,205.00  ,411  x   ,121.30  ,"1,073  x   ",65.80  ,"16,554  x   ",20.50  ,"15,993  x   ",17.90  ,"18,934  x   ",15.80  ,"87,837  x   ",11.30  ,"245,926  x   ",7.70
22.,30/05/,FR,25 ,17 ,26 ,7 ,35 ,7,4,"16,816,810.00  ",0  x   ,unbesetzt,3  x   ,"140,140.00  ",5  x   ,"21,861.80  ",45  x   ,"2,242.20  ",462  x   ,172.90  ,498  x   ,101.30  ,"1,951  x   ",36.60  ,"20,353  x   ",16.90  ,"27,717  x   ",11.70  ,"22,794  x   ",11.70  ,"128,842  x   ",7.80  ,"281,897  x   ",6.80
23.,06/06/,FR,19 ,37 ,38 ,6 ,9 ,8,4,"16,934,498.00  ",0  x   ,unbesetzt,2  x   ,"211,681.20  ",3  x   ,"36,691.40  ",26  x   ,"3,907.90  ",430  x   ,187.00  ,555  x   ,91.50  ,"1,471  x   ",48.90  ,"18,623  x   ",18.60  ,"21,747  x   ",13.40  ,"25,161  x   ",12.10  ,"108,512  x   ",9.30  ,"256,590  x   ",7.50
24.,13/06/,FR,18 ,1 ,8 ,39 ,15 ,6,1,"17,082,062.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,0  x   ,unbesetzt,29  x   ,"3,534.20  ",358  x   ,226.60  ,443  x   ,115.60  ,"1,181  x   ",61.40  ,"16,476  x   ",21.20  ,"17,573  x   ",16.70  ,"21,927  x   ",14.00  ,"91,485  x   ",11.20  ,"231,029  x   ",8.40
25.,20/06/,FR,33 ,10 ,41 ,23 ,6 ,6,8,"17,831,296.00  ",1  x   ,"19,318,051.40  ",3  x   ,"290,944.60  ",3  x   ,"75,645.60  ",30  x   ,"3,566.20  ",436  x   ,194.20  ,565  x   ,94.60  ,"1,295  x   ",58.50  ,"18,713  x   ",19.50  ,"18,801  x   ",16.30  ,"23,484  x   ",13.60  ,"95,722  x   ",11.10  ,"262,706  x   ",7.70
26.,27/06/,FR,35 ,42 ,33 ,44 ,11 ,4,6,"15,611,402.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,1  x   ,"101,474.10  ",33  x   ,"2,838.40  ",351  x   ,211.20  ,440  x   ,106.40  ,"1,314  x   ",50.40  ,"14,666  x   ",21.80  ,"18,553  x   ",14.60  ,"18,991  x   ",14.60  ,"98,085  x   ",9.50  ,"207,009  x   ",8.60
27.,04/07/,FR,11 ,10 ,13 ,3 ,42 ,8,1,"16,068,700.00  ",0  x   ,unbesetzt,1  x   ,"792,002.50  ",2  x   ,"52,223.20  ",25  x   ,"3,856.40  ",413  x   ,184.80  ,517  x   ,93.20  ,"1,451  x   ",47.00  ,"16,867  x   ",19.50  ,"20,897  x   ",13.20  ,"24,253  x   ",11.90  ,"103,258  x   ",9.30  ,"233,569  x   ",7.80
28.,11/07/,FR,35 ,16 ,45 ,10 ,3 ,4,6,"16,137,450.00  ",0  x   ,unbesetzt,2  x   ,"201,718.10  ",1  x   ,"104,893.40  ",31  x   ,"3,123.30  ",298  x   ,257.20  ,407  x   ,118.90  ,"1,397  x   ",49.00  ,"15,021  x   ",22.00  ,"20,014  x   ",14.10  ,"20,077  x   ",14.10  ,"104,047  x   ",9.30  ,"218,562  x   ",8.40
29.,18/07/,FR,6 ,45 ,11 ,15 ,18 ,5,8,"16,467,840.00  ",0  x   ,unbesetzt,1  x   ,"411,696.00  ",2  x   ,"53,520.40  ",34  x   ,"2,906.00  ",342  x   ,228.70  ,424  x   ,116.50  ,"1,391  x   ",50.30  ,"16,948  x   ",19.90  ,"20,013  x   ",14.10  ,"20,893  x   ",14.10  ,"100,867  x   ",9.70  ,"245,394  x   ",7.70
30.,25/07/,FR,43 ,3 ,47 ,10 ,36 ,5,2,"17,229,524.00  ",0  x   ,unbesetzt,3  x   ,"143,579.30  ",1  x   ,"111,991.90  ",21  x   ,"4,922.70  ",264  x   ,310.00  ,365  x   ,141.60  ,"1,453  x   ",50.30  ,"15,226  x   ",23.10  ,"21,735  x   ",14.70  ,"19,306  x   ",14.70  ,"122,958  x   ",8.40  ,"232,814  x   ",8.40
31.,01/08/,FR,5 ,18 ,47 ,38 ,33 ,6,3,"19,632,036.00  ",0  x   ,unbesetzt,5  x   ,"98,160.10  ",6  x   ,"21,268.00  ",61  x   ,"1,931.00  ",483  x   ,193.00  ,578  x   ,101.80  ,"2,168  x   ",38.40  ,"20,571  x   ",19.50  ,"30,063  x   ",12.30  ,"25,905  x   ",12.30  ,"153,767  x   ",7.80  ,"283,940  x   ",7.80
32.,08/08/,FR,21 ,40 ,15 ,34 ,19 ,3,4,"20,942,366.00  ",0  x   ,unbesetzt,2  x   ,"261,779.50  ",3  x   ,"45,375.10  ",36  x   ,"3,490.30  ",424  x   ,234.60  ,490  x   ,128.20  ,"1,446  x   ",61.50  ,"19,254  x   ",22.20  ,"22,204  x   ",16.40  ,"22,742  x   ",16.40  ,"122,633  x   ",10.20  ,"296,360  x   ",8.10
33.,15/08/,FR,47 ,17 ,41 ,43 ,38 ,6,4,"23,957,490.00  ",0  x   ,unbesetzt,3  x   ,"199,645.70  ",3  x   ,"51,907.80  ",48  x   ,"2,994.60  ",396  x   ,287.30  ,548  x   ,131.10  ,"1,810  x   ",56.20  ,"20,643  x   ",23.70  ,"27,242  x   ",15.40  ,"27,315  x   ",15.40  ,"150,857  x   ",9.50  ,"306,222  x   ",8.90
34.,22/08/,FR,42 ,40 ,19 ,47 ,20 ,8,2,"27,036,230.00  ",0  x   ,unbesetzt,1  x   ,"675,905.70  ",3  x   ,"58,578.50  ",38  x   ,"4,268.80  ",439  x   ,292.50  ,507  x   ,159.90  ,"1,813  x   ",63.30  ,"20,650  x   ",26.80  ,"29,480  x   ",16.90  ,"26,617  x   ",16.90  ,"173,680  x   ",9.30  ,"333,523  x   ",9.30
35.,29/08/,FR,12 ,1 ,8 ,37 ,9 ,6,2,"32,150,168.00  ",0  x   ,unbesetzt,2  x   ,"401,877.10  ",1  x   ,"208,976.00  ",60  x   ,"3,215.00  ",773  x   ,197.50  ,998  x   ,96.60  ,"3,249  x   ",42.00  ,"35,655  x   ",18.40  ,"43,538  x   ",12.70  ,"46,928  x   ",12.30  ,"220,307  x   ",8.70  ,"485,206  x   ",7.60
36.,05/09/,FR,31 ,40 ,26 ,39 ,33 ,5,6,"37,949,936.00  ",0  x   ,unbesetzt,1  x   ,"948,748.40  ",6  x   ,"41,112.40  ",46  x   ,"4,949.90  ",649  x   ,277.70  ,833  x   ,136.60  ,"2,295  x   ",70.20  ,"32,459  x   ",23.90  ,"37,025  x   ",17.60  ,"39,284  x   ",17.30  ,"200,854  x   ",11.30  ,"504,560  x   ",8.60
37.,12/09/,FR,25 ,9 ,29 ,2 ,17 ,3,5,"49,379,972.00  ",1  x   ,"61,170,752.70  ",9  x   ,"137,166.50  ",8  x   ,"40,121.20  ",175  x   ,"1,693.00  ","1,711  x   ",137.00  ,"2,062  x   ",71.80  ,"6,107  x   ",34.30  ,"64,047  x   ",15.80  ,"75,984  x   ",11.30  ,"77,290  x   ",11.30  ,"365,935  x   ",8.00  ,"797,379  x   ",7.10
38.,19/09/,FR,38 ,13 ,20 ,18 ,39 ,1,8,"20,440,552.00  ",0  x   ,unbesetzt,1  x   ,"511,013.80  ",2  x   ,"66,431.70  ",32  x   ,"3,832.60  ",341  x   ,284.70  ,496  x   ,123.60  ,"1,628  x   ",53.30  ,"17,836  x   ",23.40  ,"24,679  x   ",14.20  ,"25,926  x   ",14.10  ,"128,785  x   ",9.50  ,"270,291  x   ",8.60
39.,26/09/,FR,26 ,44 ,8 ,32 ,50 ,4,7,"19,818,286.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"64,409.40  ",49  x   ,"2,426.70  ",514  x   ,183.10  ,613  x   ,96.90  ,"1,851  x   ",45.50  ,"18,444  x   ",22.00  ,"27,369  x   ",13.90  ,"22,883  x   ",13.90  ,"147,989  x   ",8.20  ,"271,325  x   ",8.20
40.,03/10/,FR,44 ,34 ,8 ,15 ,49 ,8,4,"20,107,056.00  ",1  x   ,"16,606,337.30  ",1  x   ,"998,133.50  ",1  x   ,"130,695.80  ",38  x   ,"3,174.70  ",382  x   ,250.00  ,449  x   ,134.30  ,"1,629  x   ",52.40  ,"17,867  x   ",23.00  ,"24,638  x   ",15.00  ,"22,593  x   ",15.00  ,"130,918  x   ",9.20  ,"271,015  x   ",8.50
41.,10/10/,FR,17 ,22 ,20 ,11 ,29 ,6,4,"20,330,700.00  ",0  x   ,unbesetzt,1  x   ,"864,054.70  ",4  x   ,"76,240.10  ",33  x   ,"3,080.40  ",407  x   ,224.70  ,732  x   ,97.20  ,"1,573  x   ",38.70  ,"21,391  x   ",15.30  ,"19,134  x   ",15.30  ,"31,555  x   ",13.80  ,"107,045  x   ",7.40  ,"268,020  x   ",7.20
42.,17/10/,FR,24 ,27 ,35 ,14 ,39 ,7,8,"20,495,558.00  ",0  x   ,unbesetzt,2  x   ,"435,530.60  ",3  x   ,"102,477.70  ",19  x   ,"5,393.50  ",573  x   ,160.90  ,834  x   ,86.00  ,"1,154  x   ",53.20  ,"15,243  x   ",20.80  ,"23,114  x   ",13.50  ,"32,142  x   ",13.50  ,"79,551  x   ",10.00  ,"298,375  x   ",6.50
43.,24/10/,FR,37 ,26 ,22 ,15 ,3 ,2,4,"20,897,368.00  ",0  x   ,unbesetzt,6  x   ,"150,199.80  ",2  x   ,"150,199.80  ",37  x   ,"2,823.90  ",550  x   ,170.90  ,731  x   ,100.00  ,"1,438  x   ",43.50  ,"18,701  x   ",17.30  ,"21,464  x   ",14.60  ,"31,421  x   ",14.20  ,"95,301  x   ",8.50  ,"286,141  x   ",6.90
44.,31/10/,FR,3 ,27 ,7 ,43 ,46 ,3,8,"23,593,824.00  ",0  x   ,unbesetzt,2  x   ,"501,368.70  ",3  x   ,"117,969.10  ",40  x   ,"2,949.20  ",535  x   ,198.40  ,738  x   ,111.80  ,"1,970  x   ",35.90  ,"26,737  x   ",14.10  ,"25,025  x   ",14.10  ,"35,104  x   ",14.10  ,"133,646  x   ",6.80  ,"339,561  x   ",6.60
45.,07/11/,FR,5 ,35 ,33 ,25 ,13 ,8,4,"25,037,934.00  ",0  x   ,unbesetzt,3  x   ,"354,704.00  ",6  x   ,"62,594.80  ",56  x   ,"2,235.50  ",738  x   ,152.60  ,"1,252  x   ",69.90  ,"2,377  x   ",31.60  ,"28,773  x   ",13.40  ,"28,758  x   ",13.00  ,"48,515  x   ",11.00  ,"136,942  x   ",7.10  ,"349,654  x   ",6.80
46.,14/11/,FR,49 ,25 ,41 ,45 ,22 ,5,2,"28,252,356.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"141,261.70  ",34  x   ,"4,154.70  ",452  x   ,281.20  ,685  x   ,144.30  ,"1,640  x   ",51.60  ,"24,691  x   ",18.50  ,"21,763  x   ",18.50  ,"33,488  x   ",18.10  ,"138,450  x   ",8.10  ,"329,506  x   ",8.10
47.,21/11/,FR,43 ,4 ,35 ,41 ,18 ,4,5,"30,654,236.00  ",0  x   ,unbesetzt,4  x   ,"625,882.50  ",5  x   ,"91,962.70  ",37  x   ,"4,142.40  ",599  x   ,230.20  ,832  x   ,128.90  ,"1,563  x   ",58.80  ,"24,130  x   ",19.60  ,"24,864  x   ",18.40  ,"37,997  x   ",17.30  ,"131,416  x   ",9.00  ,"370,087  x   ",7.90
48.,28/11/,FR,6 ,35 ,18 ,16 ,29 ,9,6,"34,935,296.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,3  x   ,"174,676.40  ",27  x   ,"6,469.40  ",616  x   ,255.20  ,"1,088  x   ",112.30  ,"1,403  x   ",74.70  ,"20,174  x   ",26.80  ,"27,490  x   ",19.00  ,"51,863  x   ",14.40  ,"101,465  x   ",13.40  ,"393,088  x   ",8.40
49.,05/12/,FR,11 ,32 ,25 ,47 ,42 ,4,9,"40,359,660.00  ",1  x   ,"58,693,173.90  ",2  x   ,"1,600,017.80  ",3  x   ,"201,798.30  ",34  x   ,"5,935.20  ",662  x   ,274.30  ,"1,257  x   ",112.30  ,"1,652  x   ",73.20  ,"24,487  x   ",25.50  ,"29,903  x   ",20.20  ,"57,829  x   ",15.00  ,"132,223  x   ",11.90  ,"440,131  x   ",8.70
50.,12/12/,FR,15 ,1 ,8 ,37 ,19 ,7,9,"21,901,310.00  ",0  x   ,unbesetzt,2  x   ,"465,402.80  ",5  x   ,"65,703.90  ",9  x   ,"12,167.30  ",366  x   ,269.20  ,844  x   ,90.80  ,767  x   ,85.60  ,"11,130  x   ",30.50  ,"18,530  x   ",17.70  ,"36,441  x   ",14.10  ,"57,158  x   ",14.10  ,"260,892  x   ",8.00
51.,19/12/,FR,10 ,25 ,49 ,11 ,32 ,5,9,"22,701,142.00  ",0  x   ,unbesetzt,4  x   ,"241,199.60  ",4  x   ,"85,129.20  ",20  x   ,"5,675.20  ",548  x   ,186.40  ,928  x   ,85.60  ,933  x   ,72.90  ,"13,089  x   ",26.80  ,"20,029  x   ",17.00  ,"37,260  x   ",13.20  ,"66,212  x   ",13.20  ,"261,782  x   ",8.20
52.,26/12/,FR,39 ,2 ,30 ,43 ,21 ,5,7,"20,542,808.00  ",1  x   ,"17,783,911.00  ",5  x   ,"174,613.80  ",4  x   ,"77,035.50  ",30  x   ,"3,423.80  ",373  x   ,247.80  ,544  x   ,132.10  ,"1,189  x   ",51.80  ,"17,460  x   ",18.90  ,"15,562  x   ",18.90  ,"24,193  x   ",18.20  ,"102,365  x   ",8.10  ,"237,848  x   ",8.10
