week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
1.,03/01/,FR,1,16,37,36,34,4,6,"15,799,532.00  ",0  x   ,unbesetzt,3  x   ,"254,435.40  ",2  x   ,"51,348.40  ",22  x   ,"4,308.90  ",292  x   ,257.00  ,371  x   ,127.70  ,"1,093  x   ",61.40  ,"13,571  x   ",23.80  ,"17,292  x   ",16.10  ,"17,257  x   ",16.10  ,"95,743  x   ",9.90  ,"199,826  x   ",9.00
2.,10/01/,FR,18,8,33,40,22,8,2,"16,362,862.00  ",1  x   ,"17,283,821.50  ",4  x   ,"102,267.80  ",5  x   ,"21,271.70  ",45  x   ,"2,181.70  ",426  x   ,182.40  ,551  x   ,89.00  ,"1,791  x   ",38.80  ,"18,416  x   ",18.20  ,"23,421  x   ",12.80  ,"21,521  x   ",12.80  ,"113,381  x   ",8.60  ,"244,258  x   ",7.60
3.,17/01/,FR,17,4,29,25,7,2,4,"14,416,854.00  ",0  x   ,unbesetzt,3  x   ,"120,140.40  ",4  x   ,"23,427.30  ",50  x   ,"1,730.00  ",550  x   ,124.50  ,631  x   ,68.50  ,"1,536  x   ",39.80  ,"20,876  x   ",14.10  ,"19,112  x   ",13.00  ,"25,004  x   ",10.30  ,"88,057  x   ",9.80  ,"250,835  x   ",6.50
4.,24/01/,FR,46,36,30,28,4,3,7,"14,409,048.00  ",0  x   ,unbesetzt,1  x   ,"360,226.20  ",3  x   ,"31,219.60  ",22  x   ,"3,929.70  ",245  x   ,279.30  ,288  x   ,150.00  ,"1,386  x   ",44.10  ,"12,196  x   ",24.20  ,"21,235  x   ",14.10  ,"14,723  x   ",14.10  ,"122,560  x   ",8.00  ,"191,556  x   ",8.00
5.,31/01/,FR,17,39,12,29,40,5,6,"15,230,306.00  ",0  x   ,unbesetzt,1  x   ,"380,757.60  ",4  x   ,"24,749.20  ",28  x   ,"3,263.60  ",316  x   ,228.90  ,379  x   ,120.50  ,"1,061  x   ",61.00  ,"14,942  x   ",20.80  ,"15,261  x   ",17.20  ,"18,586  x   ",14.70  ,"79,807  x   ",11.40  ,"222,856  x   ",7.80
6.,07/02/,FR,18,36,20,49,16,3,4,"15,698,964.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,2  x   ,"51,021.60  ",14  x   ,"6,728.10  ",288  x   ,258.90  ,345  x   ,136.50  ,"1,000  x   ",66.70  ,"14,284  x   ",22.50  ,"15,355  x   ",17.60  ,"16,839  x   ",16.70  ,"85,566  x   ",11.00  ,"215,301  x   ",8.30
7.,14/02/,FR,28,22,21,45,19,6,7,"16,069,758.00  ",0  x   ,unbesetzt,3  x   ,"264,739.30  ",3  x   ,"34,817.80  ",20  x   ,"4,820.90  ",344  x   ,221.80  ,400  x   ,120.50  ,"1,143  x   ",59.70  ,"15,859  x   ",20.70  ,"15,308  x   ",18.10  ,"18,746  x   ",15.40  ,"80,499  x   ",11.90  ,"244,647  x   ",7.50
8.,21/02/,FR,2,21,4,41,30,7,8,"17,659,742.00  ",0  x   ,unbesetzt,2  x   ,"220,746.70  ",1  x   ,"114,788.30  ",25  x   ,"4,238.30  ",339  x   ,247.40  ,394  x   ,134.40  ,"1,118  x   ",67.10  ,"16,076  x   ",22.50  ,"17,132  x   ",17.70  ,"19,464  x   ",16.30  ,"90,315  x   ",11.70  ,"243,649  x   ",8.30
9.,28/02/,FR,2,21,45,22,17,5,1,"19,406,674.00  ",0  x   ,unbesetzt,3  x   ,"161,722.20  ",0  x   ,unbesetzt,35  x   ,"3,326.80  ",388  x   ,237.50  ,527  x   ,110.40  ,"1,397  x   ",59.00  ,"18,187  x   ",21.80  ,"21,588  x   ",15.50  ,"24,787  x   ",14.00  ,"118,294  x   ",9.80  ,"265,694  x   ",8.30
10.,07/03/,FR,15,14,20,39,7,1,8,"22,713,576.00  ",0  x   ,unbesetzt,1  x   ,"567,839.40  ",5  x   ,"54,756.30  ",37  x   ,"3,683.20  ",444  x   ,242.90  ,599  x   ,113.70  ,"1,720  x   ",56.10  ,"21,271  x   ",21.80  ,"26,071  x   ",15.00  ,"30,987  x   ",13.10  ,"139,216  x   ",9.70  ,"304,127  x   ",8.50
11.,14/03/,FR,13,9,7,30,6,4,7,"25,865,258.00  ",0  x   ,unbesetzt,0  x   ,unbesetzt,6  x   ,"28,020.60  ",80  x   ,"1,939.80  ",861  x   ,142.60  ,"1,081  x   ",71.70  ,"2,978  x   ",36.90  ,"34,020  x   ",15.50  ,"39,659  x   ",11.40  ,"40,158  x   ",11.40  ,"192,485  x   ",8.00  ,"432,228  x   ",6.80
12.,21/03/,FR,42 ,8 ,35 ,38 ,18 ,4,6,"29,495,752.00  ",0  x   ,unbesetzt,4  x   ,"346,006.30  ",4  x   ,"47,930.50  ",65  x   ,"2,722.60  ",726  x   ,192.90  ,926  x   ,95.50  ,"2,674  x   ",46.80  ,"30,093  x   ",20.00  ,"34,908  x   ",14.50  ,"39,625  x   ",13.30  ,"181,433  x   ",9.70  ,"407,429  x   ",8.30
13.,28/03/,FR,32 ,10 ,38 ,45 ,35 ,5,4,"37,129,218.00  ",0  x   ,unbesetzt,2  x   ,"464,115.20  ",1  x   ,"241,339.90  ",67  x   ,"3,325.00  ",721  x   ,244.60  ,846  x   ,131.60  ,"2,804  x   ",56.20  ,"34,174  x   ",22.20  ,"42,757  x   ",15.50  ,"41,183  x   ",15.50  ,"232,096  x   ",9.50  ,"507,204  x   ",8.40
14.,04/04/,FR,33 ,10 ,30 ,28 ,16 ,4,6,"45,425,658.00  ",1  x   ,"57,275,841.60  ",5  x   ,"227,128.20  ",7  x   ,"42,180.90  ",110  x   ,"2,477.70  ","1,055  x   ",204.50  ,"1,380  x   ",98.70  ,"4,116  x   ",46.90  ,"46,735  x   ",19.90  ,"55,879  x   ",14.00  ,"60,088  x   ",13.60  ,"286,038  x   ",9.50  ,"644,530  x   ",8.00
